modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T2W,3T_to_0.1T,0.1T,0009,lpips,1220224.9942502063,1445126.586702969,1781409.011151804,0.25005,0.28918,0.19813,0.19697,1.1843,0.9298
T2W,3T_to_1.5T,1.5T,0006,lpips,946452.0266831811,970949.1586303434,1053998.0622526873,0.23569,0.24946,0.23442,0.23411,1.0259,0.9358
T2W,3T_to_1.5T,1.5T,0007,lpips,1078478.8386793958,1134435.4383418856,1262138.848272205,0.23842,0.2597,0.23355,0.23307,1.0519,0.929
T2W,3T_to_1.5T,1.5T,0009,lpips,943023.7337009745,923938.6967471999,941559.8851580386,0.19744,0.20267,0.1964,0.19616,0.9798,0.9298
T2W,3T_to_5T,5T,0006,lpips,782886.3569674179,944552.2538703259,1191192.352619564,0.26709,0.30242,0.20811,0.20801,1.2065,0.9358
T2W,3T_to_5T,5T,0007,lpips,888888.0018920428,960974.7902915605,1077761.0679211018,0.20365,0.23479,0.18987,0.18986,1.0811,0.929
T2W,3T_to_5T,5T,0009,lpips,786225.7156061656,754607.2349790554,752323.4874621978,0.19746,0.19555,0.19314,0.19314,0.9598,0.9298
T2W,3T_to_7T,7T,0006,lpips,632484.2877943304,848025.6534192458,1244475.9123391546,0.38127,0.41194,0.29385,0.2937,1.3408,0.9358
T2W,3T_to_7T,7T,0007,lpips,717913.8043187856,683954.4991816664,706741.0565468612,0.28336,0.28034,0.27932,0.27928,0.9527,0.929
T2W,3T_to_7T,7T,0009,lpips,644875.0587667857,728566.5278589537,870119.0455511197,0.25787,0.28923,0.23241,0.23224,1.1298,0.9298
T2W,5T_to_0.1T,0.1T,0006,lpips,1641777.1592901968,2177969.9534415323,3046546.1901859995,0.33031,0.25413,0.2272,0.22554,1.3266,1.1715
T2W,5T_to_0.1T,0.1T,0007,lpips,1538480.9568271744,1732364.8088028585,2031185.3539286666,0.22729,0.2052,0.19908,0.19806,1.126,1.0689
T2W,5T_to_0.1T,0.1T,0009,lpips,1119173.370119551,1378690.5758458562,1781409.011151804,0.28353,0.31103,0.21588,0.21461,1.2319,0.9494
T2W,5T_to_1.5T,1.5T,0006,lpips,1304848.8851167376,1143670.4928913428,1053998.0622526873,0.26047,0.39588,0.22125,0.22123,0.8765,1.1715
T2W,5T_to_1.5T,1.5T,0007,lpips,1208868.3450948403,1203598.3998049584,1262138.848272205,0.22485,0.23596,0.22481,0.22454,0.9956,1.0689
T2W,5T_to_1.5T,1.5T,0009,lpips,859615.4180889255,880591.3249751265,941559.8851580386,0.20609,0.21695,0.20477,0.20443,1.0244,0.9494
T2W,5T_to_3T,3T,0006,lpips,1383297.011701049,1174349.9588300118,1047448.655702306,0.27987,0.43082,0.21954,0.21948,0.8489,1.1715
T2W,5T_to_3T,3T,0007,lpips,1278311.8591266028,1220178.2158239977,1205000.389970746,0.18881,0.21756,0.1829,0.18288,0.9545,1.0689
T2W,5T_to_3T,3T,0009,lpips,902960.4231593105,952211.344182708,1037442.3052186009,0.18623,0.20425,0.17914,0.17911,1.0545,0.9494
T2W,5T_to_7T,7T,0006,lpips,868665.4898942892,1002553.7254795615,1244475.9123391546,0.29464,0.2654,0.26501,0.265,1.1541,1.1715
T2W,5T_to_7T,7T,0007,lpips,795224.4802498121,721478.7893840023,706741.0565468612,0.28895,0.32127,0.27169,0.27169,0.9073,1.0689
T2W,5T_to_7T,7T,0009,lpips,579509.2529272834,695385.1676608194,870119.0455511197,0.26008,0.2878,0.20252,0.20236,1.2,0.9494
T2W,7T_to_0.1T,0.1T,0006,lpips,2005066.3922736424,2376809.705130559,3046546.1901859995,0.31275,0.28036,0.27421,0.27167,1.1854,1.2574
T2W,7T_to_0.1T,0.1T,0007,lpips,1305238.3686039832,1561040.1222552594,2031185.3539286666,0.32485,0.38029,0.28433,0.28184,1.196,0.881
T2W,7T_to_0.1T,0.1T,0009,lpips,1511316.6502361828,1605397.9533187733,1781409.011151804,0.21446,0.22321,0.20665,0.20572,1.0623,0.9706
T2W,7T_to_1.5T,1.5T,0006,lpips,1645211.23710324,1227851.1904865857,1053998.0622526873,0.48066,0.73368,0.36136,0.36035,0.7463,1.2574
T2W,7T_to_1.5T,1.5T,0007,lpips,1016869.9928839158,1070831.0365941583,1262138.848272205,0.32988,0.36113,0.32642,0.32461,1.0531,0.881
T2W,7T_to_1.5T,1.5T,0009,lpips,1222629.6848007278,1033172.2909176472,941559.8851580386,0.32236,0.30532,0.2697,0.26936,0.845,0.9706
T2W,7T_to_3T,3T,0006,lpips,1726382.898529222,1261392.3820388305,1047448.655702306,0.48957,0.75986,0.34656,0.34622,0.7307,1.2574
T2W,7T_to_3T,3T,0007,lpips,1050389.0800859064,1072899.9498297004,1205000.389970746,0.30157,0.32825,0.30091,0.30013,1.0214,0.881
T2W,7T_to_3T,3T,0009,lpips,1282342.451647382,1114133.0583017832,1037442.3052186009,0.29701,0.28242,0.25874,0.2587,0.8688,0.9706
T2W,7T_to_5T,5T,0006,lpips,1355109.1397005268,1209209.9205734024,1191192.352619564,0.32765,0.49575,0.30687,0.30648,0.8923,1.2574
T2W,7T_to_5T,5T,0007,lpips,828642.57736984,902473.4771995266,1077761.0679211018,0.30682,0.34834,0.2967,0.29573,1.0891,0.881
T2W,7T_to_5T,5T,0009,lpips,1006794.3648246034,844023.0323304937,752323.4874621978,0.30736,0.28796,0.24391,0.2439,0.8383,0.9706
T2FLAIR,0.1T_to_1.5T,1.5T,0006,lpips,2041576.3122357999,2711837.50492148,3704485.241900683,0.295,0.43913,0.16621,0.16614,1.3283,0.7808
T2FLAIR,0.1T_to_1.5T,1.5T,0007,lpips,2374873.95471121,2316274.4931607153,2403060.007326249,0.24597,0.27596,0.24474,0.24348,0.9753,0.8471
T2FLAIR,0.1T_to_1.5T,1.5T,0009,lpips,3123006.471043688,3336571.3517194083,3614964.803524517,0.13392,0.12679,0.11787,0.11787,1.0684,1.0181
T2FLAIR,0.1T_to_3T,3T,0006,lpips,1124563.187152334,1863913.827327425,3201802.1028532293,0.43236,0.55232,0.1874,0.18727,1.6575,0.7808
T2FLAIR,0.1T_to_3T,3T,0007,lpips,1311930.656455904,2224834.7892880226,4039395.2516535604,0.47246,0.54767,0.25681,0.25538,1.6958,0.8471
T2FLAIR,0.1T_to_3T,3T,0009,lpips,1768442.5134107717,2251742.9593170485,2922789.7148233815,0.25345,0.24175,0.138,0.13798,1.2733,1.0181
T2FLAIR,0.1T_to_5T,5T,0006,lpips,1412465.95365483,1773993.8840402314,2299005.2186109903,0.26667,0.4118,0.17567,0.17551,1.256,0.7808
T2FLAIR,0.1T_to_5T,5T,0007,lpips,1646442.61364668,2306894.4664767417,3437860.7689578496,0.36995,0.45478,0.24454,0.24318,1.4011,0.8471
T2FLAIR,0.1T_to_5T,5T,0009,lpips,2198485.3642061944,2465838.621994196,2814392.0717861857,0.16986,0.1602,0.13153,0.13151,1.1216,1.0181
T2FLAIR,0.1T_to_7T,7T,0006,lpips,597944.4486973019,628310.739515375,717328.423282181,0.28594,0.37467,0.28216,0.28187,1.0508,0.7808
T2FLAIR,0.1T_to_7T,7T,0007,lpips,695921.0906732405,484811.6663188405,382671.7109971353,0.53363,0.39819,0.34265,0.34089,0.6966,0.8471
T2FLAIR,0.1T_to_7T,7T,0009,lpips,956120.7332290702,623539.7584211213,421776.31009726715,0.55692,0.58265,0.18941,0.18934,0.6522,1.0181
T2FLAIR,1.5T_to_0.1T,0.1T,0006,lpips,4184769.380367234,3034837.742315856,2259008.3832891113,0.40695,0.47278,0.16039,0.16023,0.7252,1.052
T2FLAIR,1.5T_to_0.1T,0.1T,0007,lpips,2729491.0163123254,2616666.93755757,2660831.9270433867,0.2429,0.28519,0.23926,0.23922,0.9587,0.8054
T2FLAIR,1.5T_to_0.1T,0.1T,0009,lpips,4066385.1146341157,3791738.1704000975,3579186.2731723343,0.13172,0.19171,0.1103,0.11025,0.9325,1.0796
T2FLAIR,1.5T_to_3T,3T,0006,lpips,2068381.9616050618,2557814.4224595297,3201802.1028532293,0.21971,0.18473,0.11,0.10998,1.2366,1.052
T2FLAIR,1.5T_to_3T,3T,0007,lpips,1341169.7966583276,2315910.765176941,4039395.2516535604,0.43053,0.54022,0.0999,0.09988,1.7268,0.8054
