modality,pair,subject,method,hf_ratio
T1W,1.5T_to_7T,0007,INR,0.25774491859921367
T1W,1.5T_to_7T,0009,identite,0.22804336421316498
T1W,1.5T_to_7T,0009,Vectorise,0.12589017245503958
T1W,1.5T_to_7T,0009,UNet,0.11863784295993765
T1W,1.5T_to_7T,0009,INR,0.0782506541583319
T1W,3T_to_0.1T,0006,identite,12.78337724889494
T1W,3T_to_0.1T,0006,Vectorise,4.4092469993542425
T1W,3T_to_0.1T,0006,UNet,4.736257193369107
T1W,3T_to_0.1T,0006,INR,5.317558332173104
T1W,3T_to_0.1T,0007,identite,12.835429911054572
T1W,3T_to_0.1T,0007,Vectorise,3.9565568048082365
T1W,3T_to_0.1T,0007,UNet,4.053112580096415
T1W,3T_to_0.1T,0007,INR,6.004540483538141
T1W,3T_to_0.1T,0009,identite,8.006652732641893
T1W,3T_to_0.1T,0009,Vectorise,3.001374317457897
T1W,3T_to_0.1T,0009,UNet,3.4407112587542246
T1W,3T_to_0.1T,0009,INR,2.454294006254602
T1W,3T_to_1.5T,0006,identite,2.202991766723096
T1W,3T_to_1.5T,0006,Vectorise,0.7332879628888844
T1W,3T_to_1.5T,0006,UNet,0.7478897399870464
T1W,3T_to_1.5T,0006,INR,0.3797421687161932
T1W,3T_to_1.5T,0007,identite,2.115711882691409
T1W,3T_to_1.5T,0007,Vectorise,0.6613751554569244
T1W,3T_to_1.5T,0007,UNet,0.666216823172642
T1W,3T_to_1.5T,0007,INR,0.4766242290997549
T1W,3T_to_1.5T,0009,identite,1.9517110533372766
T1W,3T_to_1.5T,0009,Vectorise,0.8533054175999826
T1W,3T_to_1.5T,0009,UNet,0.892082068818541
T1W,3T_to_1.5T,0009,INR,0.24367946912610206
T1W,3T_to_5T,0006,identite,0.4345660889364648
T1W,3T_to_5T,0006,Vectorise,0.16601088021913654
T1W,3T_to_5T,0006,UNet,0.16448712900337267
T1W,3T_to_5T,0006,INR,0.05584659188504507
T1W,3T_to_5T,0007,identite,0.39564355314158844
T1W,3T_to_5T,0007,Vectorise,0.12869924884685613
T1W,3T_to_5T,0007,UNet,0.12840745890046976
T1W,3T_to_5T,0007,INR,0.05015577729325026
T1W,3T_to_5T,0009,identite,0.3857653890101458
T1W,3T_to_5T,0009,Vectorise,0.178375952026229
T1W,3T_to_5T,0009,UNet,0.17304021434714953
T1W,3T_to_5T,0009,INR,0.037806913799330516
T1W,3T_to_7T,0006,identite,1.092396595184114
T1W,3T_to_7T,0006,Vectorise,0.40714618666426466
T1W,3T_to_7T,0006,UNet,0.3972827789419836
T1W,3T_to_7T,0006,INR,0.21681951244002248
T1W,3T_to_7T,0007,identite,1.1365846060715814
T1W,3T_to_7T,0007,Vectorise,0.4036761083516415
T1W,3T_to_7T,0007,UNet,0.4003970609079357
T1W,3T_to_7T,0007,INR,0.2233776284024596
T1W,3T_to_7T,0009,identite,0.4575764302525868
T1W,3T_to_7T,0009,Vectorise,0.21238956865227654
T1W,3T_to_7T,0009,UNet,0.19835839664729804
T1W,3T_to_7T,0009,INR,0.07604558005624408
T1W,5T_to_0.1T,0006,identite,29.56498679275488
T1W,5T_to_0.1T,0006,Vectorise,7.882636032893621
T1W,5T_to_0.1T,0006,UNet,8.607436914029988
T1W,5T_to_0.1T,0006,INR,8.132233636801544
T1W,5T_to_0.1T,0007,identite,32.566068071803954
T1W,5T_to_0.1T,0007,Vectorise,8.014842053218619
T1W,5T_to_0.1T,0007,UNet,8.503314083452832
T1W,5T_to_0.1T,0007,INR,7.861081831250017
T1W,5T_to_0.1T,0009,identite,20.797490096526616
T1W,5T_to_0.1T,0009,Vectorise,4.922163317640886
T1W,5T_to_0.1T,0009,UNet,5.868152418139553
T1W,5T_to_0.1T,0009,INR,4.3658573383741714
T1W,5T_to_1.5T,0006,identite,5.150879383745598
T1W,5T_to_1.5T,0006,Vectorise,1.2449527600702248
T1W,5T_to_1.5T,0006,UNet,1.3085539577853835
T1W,5T_to_1.5T,0006,INR,1.2093471923007209
T1W,5T_to_1.5T,0007,identite,5.347520175399552
T1W,5T_to_1.5T,0007,Vectorise,1.359439138442892
T1W,5T_to_1.5T,0007,UNet,1.408875475647447
T1W,5T_to_1.5T,0007,INR,1.075233227290223
T1W,5T_to_1.5T,0009,identite,5.285787349104742
T1W,5T_to_1.5T,0009,Vectorise,1.338361857782137
T1W,5T_to_1.5T,0009,UNet,1.4872430437073587
T1W,5T_to_1.5T,0009,INR,0.8223831137092803
T1W,5T_to_3T,0006,identite,2.3032928757674536
T1W,5T_to_3T,0006,Vectorise,0.6649567181826925
T1W,5T_to_3T,0006,UNet,0.6778014754411581
T1W,5T_to_3T,0006,INR,0.3149397261734651
T1W,5T_to_3T,0007,identite,2.540480872562127
T1W,5T_to_3T,0007,Vectorise,0.7677732981666396
T1W,5T_to_3T,0007,UNet,0.780990368634032
T1W,5T_to_3T,0007,INR,0.2909946034717442
T1W,5T_to_3T,0009,identite,2.5975261811641266
T1W,5T_to_3T,0009,Vectorise,0.7120803289972368
T1W,5T_to_3T,0009,UNet,0.7488929804011366
T1W,5T_to_3T,0009,INR,0.25781402842181145
T1W,5T_to_7T,0006,identite,2.538646310717608
T1W,5T_to_7T,0006,Vectorise,0.6704570396660671
T1W,5T_to_7T,0006,UNet,0.6617949518053584
T1W,5T_to_7T,0006,INR,0.17625254409045804
T1W,5T_to_7T,0007,identite,2.887471451773413
T1W,5T_to_7T,0007,Vectorise,0.912071412816885
T1W,5T_to_7T,0007,UNet,0.90550618826835
T1W,5T_to_7T,0007,INR,0.1779764800673375
T1W,5T_to_7T,0009,identite,1.2560162770375463
T1W,5T_to_7T,0009,Vectorise,0.36332474007660254
T1W,5T_to_7T,0009,UNet,0.34965810009721154
T1W,5T_to_7T,0009,INR,0.06117751570055051
T1W,7T_to_0.1T,0006,identite,12.044821011685347
T1W,7T_to_0.1T,0006,Vectorise,4.466077424273656
T1W,7T_to_0.1T,0006,UNet,4.9028737794735235
T1W,7T_to_0.1T,0006,INR,6.131286646433006
T1W,7T_to_0.1T,0007,identite,11.704946172414857
T1W,7T_to_0.1T,0007,Vectorise,3.1160220698340138
T1W,7T_to_0.1T,0007,UNet,3.934325208804467
T1W,7T_to_0.1T,0007,INR,6.148182386248674
T1W,7T_to_0.1T,0009,identite,15.05085519026679
T1W,7T_to_0.1T,0009,Vectorise,4.370905726004516
T1W,7T_to_0.1T,0009,UNet,5.745132719535585
T1W,7T_to_0.1T,0009,INR,2.246495738177723
T1W,7T_to_1.5T,0006,identite,2.0902378221797338
T1W,7T_to_1.5T,0006,Vectorise,0.7375135892424876
T1W,7T_to_1.5T,0006,UNet,0.7872047389844392
T1W,7T_to_1.5T,0006,INR,1.3334341672865628
T1W,7T_to_1.5T,0007,identite,1.909719199193092
T1W,7T_to_1.5T,0007,Vectorise,0.5308056769746614
T1W,7T_to_1.5T,0007,UNet,0.6398124375253544
T1W,7T_to_1.5T,0007,INR,1.321388862630586
T1W,7T_to_1.5T,0009,identite,3.8115784529389205
T1W,7T_to_1.5T,0009,Vectorise,1.2685814623814275
T1W,7T_to_1.5T,0009,UNet,1.5181942316194441
T1W,7T_to_1.5T,0009,INR,0.7852440841918126
T1W,7T_to_3T,0006,identite,0.9428702893604608
T1W,7T_to_3T,0006,Vectorise,0.36481793434876697
T1W,7T_to_3T,0006,UNet,0.37820915557811036
T1W,7T_to_3T,0006,INR,0.449081162976364
T1W,7T_to_3T,0007,identite,0.8798289143263485
T1W,7T_to_3T,0007,Vectorise,0.2832291581495211
T1W,7T_to_3T,0007,UNet,0.32194605136054194
T1W,7T_to_3T,0007,INR,0.489685761628061
T1W,7T_to_3T,0009,identite,1.8797936781879856
T1W,7T_to_3T,0009,Vectorise,0.6472103170477939
T1W,7T_to_3T,0009,UNet,0.7289312279521888
T1W,7T_to_3T,0009,INR,0.3300288205068313
T1W,7T_to_5T,0006,identite,0.40766107339029856
T1W,7T_to_5T,0006,Vectorise,0.1639175908118292
T1W,7T_to_5T,0006,UNet,0.16576057602504066
T1W,7T_to_5T,0006,INR,0.09150504155593364
T1W,7T_to_5T,0007,identite,0.3571223925397164
T1W,7T_to_5T,0007,Vectorise,0.11344004164121473
T1W,7T_to_5T,0007,UNet,0.12084905569243197
T1W,7T_to_5T,0007,INR,0.1008038320589837
T1W,7T_to_5T,0009,identite,0.7342079976237259
T1W,7T_to_5T,0009,Vectorise,0.270759131571678
T1W,7T_to_5T,0009,UNet,0.28672294896505685
T1W,7T_to_5T,0009,INR,0.0785920334587106
T2W,0.1T_to_1.5T,0006,identite,0.3859861270206488
T2W,0.1T_to_1.5T,0006,Vectorise,0.2211400190424685
T2W,0.1T_to_1.5T,0006,UNet,0.23538058382711005
T2W,0.1T_to_1.5T,0006,INR,0.23072896450655092
T2W,0.1T_to_1.5T,0007,identite,0.9546224544604514
T2W,0.1T_to_1.5T,0007,Vectorise,0.32258020224063577
T2W,0.1T_to_1.5T,0007,UNet,0.34338612258877194
T2W,0.1T_to_1.5T,0007,INR,0.2395742411508852
T2W,0.1T_to_1.5T,0009,identite,0.26579701212720264
T2W,0.1T_to_1.5T,0009,Vectorise,0.10675574352054246
T2W,0.1T_to_1.5T,0009,UNet,0.12002977183698303
T2W,0.1T_to_1.5T,0009,INR,0.1288073267281976
T2W,0.1T_to_3T,0006,identite,0.1799603905337493
T2W,0.1T_to_3T,0006,Vectorise,0.09715493987634473
T2W,0.1T_to_3T,0006,UNet,0.1081622050454022
T2W,0.1T_to_3T,0006,INR,0.1611663585854308
T2W,0.1T_to_3T,0007,identite,0.4737629903688449
T2W,0.1T_to_3T,0007,Vectorise,0.1481261317547352
T2W,0.1T_to_3T,0007,UNet,0.16403476112167203
T2W,0.1T_to_3T,0007,INR,0.19279264340600025
T2W,0.1T_to_3T,0009,identite,0.15587716898400933
T2W,0.1T_to_3T,0009,Vectorise,0.05758165788636506
T2W,0.1T_to_3T,0009,UNet,0.0707537377101499
T2W,0.1T_to_3T,0009,INR,0.11100456794533323
T2W,0.1T_to_5T,0006,identite,0.21442543113399143
T2W,0.1T_to_5T,0006,Vectorise,0.11242284585969203
T2W,0.1T_to_5T,0006,UNet,0.12800403739357114
T2W,0.1T_to_5T,0006,INR,0.19465384980675043
T2W,0.1T_to_5T,0007,identite,0.44502020731708924
T2W,0.1T_to_5T,0007,Vectorise,0.12890265437160564
T2W,0.1T_to_5T,0007,UNet,0.14882376440407205
T2W,0.1T_to_5T,0007,INR,0.19807690518004342
T2W,0.1T_to_5T,0009,identite,0.1671152406994807
T2W,0.1T_to_5T,0009,Vectorise,0.05829805003400912
T2W,0.1T_to_5T,0009,UNet,0.07970246529215942
T2W,0.1T_to_5T,0009,INR,0.13197222748736392
T2W,0.1T_to_7T,0006,identite,0.27284713181305376
T2W,0.1T_to_7T,0006,Vectorise,0.14030938773084717
T2W,0.1T_to_7T,0006,UNet,0.16285909952776295
T2W,0.1T_to_7T,0006,INR,0.251490734220287
T2W,0.1T_to_7T,0007,identite,0.6422380354238513
T2W,0.1T_to_7T,0007,Vectorise,0.18500590414396162
T2W,0.1T_to_7T,0007,UNet,0.22110747418815985
T2W,0.1T_to_7T,0007,INR,0.29585211438631304
T2W,0.1T_to_7T,0009,identite,0.211535810418626
T2W,0.1T_to_7T,0009,Vectorise,0.06832847533744293
T2W,0.1T_to_7T,0009,UNet,0.09989742772093779
T2W,0.1T_to_7T,0009,INR,0.15896983073132565
T2W,1.5T_to_0.1T,0006,identite,2.5181610386902977
T2W,1.5T_to_0.1T,0006,Vectorise,0.9763085343550997
T2W,1.5T_to_0.1T,0006,UNet,0.8624615605223764
T2W,1.5T_to_0.1T,0006,INR,0.44223114830222987
T2W,1.5T_to_0.1T,0007,identite,1.0576077992457198
T2W,1.5T_to_0.1T,0007,Vectorise,0.4803010140372847
T2W,1.5T_to_0.1T,0007,UNet,0.4376338231452994
T2W,1.5T_to_0.1T,0007,INR,0.2762928816635902
T2W,1.5T_to_0.1T,0009,identite,3.805830146104231
T2W,1.5T_to_0.1T,0009,Vectorise,1.4951460339051552
T2W,1.5T_to_0.1T,0009,UNet,1.3278265189690175
T2W,1.5T_to_0.1T,0009,INR,0.4284736872762701
T2W,1.5T_to_3T,0006,identite,0.45429312360615937
T2W,1.5T_to_3T,0006,Vectorise,0.14097076896291594
T2W,1.5T_to_3T,0006,UNet,0.15577088204757777
T2W,1.5T_to_3T,0006,INR,0.10260697723676457
T2W,1.5T_to_3T,0007,identite,0.4950293692198783
T2W,1.5T_to_3T,0007,Vectorise,0.1825351554643959
T2W,1.5T_to_3T,0007,UNet,0.20278289131001448
T2W,1.5T_to_3T,0007,INR,0.11532637397666225
T2W,1.5T_to_3T,0009,identite,0.5970259988897811
T2W,1.5T_to_3T,0009,Vectorise,0.18203989824194308
T2W,1.5T_to_3T,0009,UNet,0.20764570425664883
T2W,1.5T_to_3T,0009,INR,0.08380371624810744
T2W,1.5T_to_5T,0006,identite,0.5630316065909654
T2W,1.5T_to_5T,0006,Vectorise,0.16319812101618208
T2W,1.5T_to_5T,0006,UNet,0.1950492301169233
T2W,1.5T_to_5T,0006,INR,0.22229386567131976
T2W,1.5T_to_5T,0007,identite,0.4716241186321791
T2W,1.5T_to_5T,0007,Vectorise,0.15810360626315187
T2W,1.5T_to_5T,0007,UNet,0.19176370983488827
T2W,1.5T_to_5T,0007,INR,0.21108873103264422
T2W,1.5T_to_5T,0009,identite,0.640299697677202
T2W,1.5T_to_5T,0009,Vectorise,0.17153822946028124
T2W,1.5T_to_5T,0009,UNet,0.2259961278039973
T2W,1.5T_to_5T,0009,INR,0.12913149315752992
T2W,1.5T_to_7T,0006,identite,0.7129666519096081
T2W,1.5T_to_7T,0006,Vectorise,0.19501635644578233
T2W,1.5T_to_7T,0006,UNet,0.2503222783926348
T2W,1.5T_to_7T,0006,INR,0.27712408488280255
T2W,1.5T_to_7T,0007,identite,0.674985724926954
T2W,1.5T_to_7T,0007,Vectorise,0.20762480840340702
T2W,1.5T_to_7T,0007,UNet,0.27604903518913526
T2W,1.5T_to_7T,0007,INR,0.31525545099764746
T2W,1.5T_to_7T,0009,identite,0.7862631284161172
T2W,1.5T_to_7T,0009,Vectorise,0.18040658623682504
T2W,1.5T_to_7T,0009,UNet,0.2793980502840101
T2W,1.5T_to_7T,0009,INR,0.16970389060800495
T2W,3T_to_0.1T,0006,identite,5.532575751019173
T2W,3T_to_0.1T,0006,Vectorise,2.7740527014381158
T2W,3T_to_0.1T,0006,UNet,2.5252138175798913
T2W,3T_to_0.1T,0006,INR,1.5487658817071048
T2W,3T_to_0.1T,0007,identite,2.130876267791725
T2W,3T_to_0.1T,0007,Vectorise,1.1845230572754164
T2W,3T_to_0.1T,0007,UNet,1.108684913696964
T2W,3T_to_0.1T,0007,INR,0.8626748710695945
T2W,3T_to_0.1T,0009,identite,6.356881664054529
T2W,3T_to_0.1T,0009,Vectorise,2.9151784233464717
T2W,3T_to_0.1T,0009,UNet,2.6287840324913
T2W,3T_to_0.1T,0009,INR,1.1656709462689738
T2W,3T_to_1.5T,0006,identite,2.1540983865746295
T2W,3T_to_1.5T,0006,Vectorise,0.9981862163487834
T2W,3T_to_1.5T,0006,UNet,0.9451981972096007
T2W,3T_to_1.5T,0006,INR,0.18873113303104555
T2W,3T_to_1.5T,0007,identite,2.0093654024439163
T2W,3T_to_1.5T,0007,Vectorise,0.994181429962582
T2W,3T_to_1.5T,0007,UNet,0.9411080314938978
T2W,3T_to_1.5T,0007,INR,0.22934670190105422
T2W,3T_to_1.5T,0009,identite,1.6905387753294934
T2W,3T_to_1.5T,0009,Vectorise,0.7279536847475222
T2W,3T_to_1.5T,0009,UNet,0.6750541741532355
T2W,3T_to_1.5T,0009,INR,0.11729669081960914
T2W,3T_to_5T,0006,identite,1.2373462378895486
T2W,3T_to_5T,0006,Vectorise,0.5340271237505141
T2W,3T_to_5T,0006,UNet,0.567518338190398
T2W,3T_to_5T,0006,INR,0.1289611341845498
T2W,3T_to_5T,0007,identite,0.9588982138732592
T2W,3T_to_5T,0007,Vectorise,0.41614252504401333
T2W,3T_to_5T,0007,UNet,0.44611148458536326
T2W,3T_to_5T,0007,INR,0.10461464231277967
T2W,3T_to_5T,0009,identite,1.0740564691530283
T2W,3T_to_5T,0009,Vectorise,0.40294162470679645
T2W,3T_to_5T,0009,UNet,0.45009696042616976
T2W,3T_to_5T,0009,INR,0.09022697316820545
T2W,3T_to_7T,0006,identite,1.5522840441440002
T2W,3T_to_7T,0006,Vectorise,0.6662834739524519
T2W,3T_to_7T,0006,UNet,0.7638855214526669
T2W,3T_to_7T,0006,INR,0.27820808475135456
T2W,3T_to_7T,0007,identite,1.3670337727151884
T2W,3T_to_7T,0007,Vectorise,0.5513584416149202
T2W,3T_to_7T,0007,UNet,0.6395008084396796
T2W,3T_to_7T,0007,INR,0.28482135505083006
T2W,3T_to_7T,0009,identite,1.305964123350845
T2W,3T_to_7T,0009,Vectorise,0.40436207319001277
T2W,3T_to_7T,0009,UNet,0.526502684454243
T2W,3T_to_7T,0009,INR,0.1597399219568432
T2W,5T_to_0.1T,0006,identite,4.4637949361196165
T2W,5T_to_0.1T,0006,Vectorise,2.0551717672957692
T2W,5T_to_0.1T,0006,UNet,1.86730355904127
T2W,5T_to_0.1T,0006,INR,1.502007627623088
T2W,5T_to_0.1T,0007,identite,2.19917474556351
T2W,5T_to_0.1T,0007,Vectorise,1.120599113076666
T2W,5T_to_0.1T,0007,UNet,1.016696575137605
T2W,5T_to_0.1T,0007,INR,0.8570389659836797
T2W,5T_to_0.1T,0009,identite,6.005130599886385
T2W,5T_to_0.1T,0009,Vectorise,2.9911080376432135
T2W,5T_to_0.1T,0009,UNet,2.404962525376464
T2W,5T_to_0.1T,0009,INR,1.356404794488767
T2W,5T_to_1.5T,0006,identite,1.752326335642438
T2W,5T_to_1.5T,0006,Vectorise,0.7962923847728072
T2W,5T_to_1.5T,0006,UNet,0.717272170284506
T2W,5T_to_1.5T,0006,INR,0.6504483907135011
