method,task,pair,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
identity,task3,0.1T_to_1.5T,3,0.3092412161780352,0.9282335201700075,0.06244545323755113,0.006539408351349277
identity,task3,0.1T_to_3T,3,0.23370995537220507,0.9078939076969257,0.13160334798264345,0.008659489230404086
identity,task3,0.1T_to_5T,3,1.950083092668969,0.8263748102738756,0.18695797895430363,0.019469485659135942
identity,task3,0.1T_to_7T,3,2.6413107557448385,0.8095942180224137,1.2818789439906915,0.022110825203030187
identity,task3,1.5T_to_0.1T,3,0.24377607622555272,0.9291051625533293,0.03433718227332682,0.006683707805422378
identity,task3,1.5T_to_3T,3,0.2097393721545396,0.9308960398228409,0.04174642518671524,0.006987202620050153
identity,task3,1.5T_to_5T,3,1.3536368219915949,0.8655484660789948,0.1127491289045861,0.013361918217946278
identity,task3,1.5T_to_7T,3,2.0272089913588442,0.8405288801491059,1.262558451055376,0.03427761347000526
identity,task3,3T_to_0.1T,3,0.1969395483830035,0.9100098046668821,0.07404276684530552,0.00904229541160863
identity,task3,3T_to_1.5T,3,0.24889359555630772,0.9316865148271973,0.07759896999295936,0.006863584647855395
identity,task3,3T_to_5T,3,1.6956804704916895,0.8435418973932823,0.28793881359953893,0.011412144458614309
identity,task3,3T_to_7T,3,2.50628632162088,0.8315580316354253,1.708902047210026,0.03964067286618784
identity,task3,5T_to_0.1T,3,0.6666495940207935,0.8291990951797663,0.02157215651276341,0.018876757967701253
identity,task3,5T_to_1.5T,3,0.5807927125058928,0.8660533632562917,0.021294504769763866,0.013317315063394007
identity,task3,5T_to_3T,3,0.6297955123495909,0.8423119798563098,0.04087503857339614,0.011826759901368231
identity,task3,5T_to_7T,3,0.5814506608997857,0.9138180111115687,0.3450112775561511,0.014212779161853576
identity,task3,7T_to_0.1T,3,0.7142105733824802,0.8111985155445799,0.08227980799810596,0.022206311780888183
identity,task3,7T_to_1.5T,3,0.6441204855432877,0.8396866628299801,0.11898215694559615,0.03544207758405768
identity,task3,7T_to_3T,3,0.6742916912605308,0.828618682172746,0.11780588425229588,0.04195007417398469
identity,task3,7T_to_5T,3,0.43914128751260995,0.9130745080915058,0.07434065172237075,0.014879406466654305
