modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,3T_to_7T,7T,0006,prod_cc,888564.1688896783,748868.3306666152,714032.7582231096,0.38322,0.55475,0.34073,0.34035,0.8428,1.2352
T1W,3T_to_7T,7T,0007,prod_cc,720437.5462977914,571520.398661948,497434.91620167723,0.38786,0.32,0.29758,0.2973,0.7933,0.8911
T1W,3T_to_7T,7T,0009,prod_cc,800339.8589296561,271883.5418194156,105526.6012830897,1.85239,2.6567,0.35321,0.35313,0.3397,1.2958
T1W,5T_to_0.1T,0.1T,0006,prod_cc,1872559.324683958,2681044.113388866,4064236.846109953,0.37604,0.50503,0.23562,0.23485,1.4318,0.7737
T1W,5T_to_0.1T,0.1T,0007,prod_cc,1255769.2483283293,2211330.556469372,4172328.7992550493,0.49089,0.63837,0.25827,0.2567,1.7609,0.6968
T1W,5T_to_0.1T,0.1T,0009,prod_cc,1616227.352954709,2175827.2200339846,3038726.1154443105,0.31593,0.47529,0.18987,0.18967,1.3462,0.7488
T1W,5T_to_1.5T,1.5T,0006,prod_cc,1080251.034496347,1547795.7773304386,2278349.510741159,0.33976,0.4823,0.16316,0.16293,1.4328,0.7737
T1W,5T_to_1.5T,1.5T,0007,prod_cc,846618.1313748185,1424672.1897685688,2481928.582217498,0.4394,0.6047,0.18454,0.18414,1.6828,0.6968
T1W,5T_to_1.5T,1.5T,0009,prod_cc,904222.0826384845,1439040.3205409963,2347655.3011132665,0.39903,0.54587,0.15646,0.15639,1.5915,0.7488
T1W,5T_to_3T,3T,0006,prod_cc,934840.2143978007,1826218.1089943158,3803023.1198128695,0.53424,0.63569,0.24884,0.24546,1.9535,0.7737
T1W,5T_to_3T,3T,0007,prod_cc,725373.1115233076,1193436.2648519669,2147316.1520779505,0.47565,0.62408,0.29256,0.28767,1.6453,0.6968
T1W,5T_to_3T,3T,0009,prod_cc,846345.5322825006,1702789.8823741346,3624040.6030706316,0.54205,0.65367,0.23383,0.2309,2.0119,0.7488
T1W,5T_to_7T,7T,0006,prod_cc,375388.80914272537,498041.012779312,714032.7582231096,0.36155,0.48519,0.27313,0.27308,1.3267,0.7737
T1W,5T_to_7T,7T,0007,prod_cc,363511.132068048,407288.5039627488,497434.91620167723,0.30531,0.46234,0.28743,0.28739,1.1204,0.6968
T1W,5T_to_7T,7T,0009,prod_cc,330084.83856341994,178713.80001218192,105526.6012830897,0.86075,0.46648,0.28825,0.28822,0.5414,0.7488
T1W,7T_to_0.1T,0.1T,0006,prod_cc,4208098.459426011,3987612.156618221,4064236.846109953,0.27038,0.39193,0.26507,0.26465,0.9476,1.2313
T1W,7T_to_0.1T,0.1T,0007,prod_cc,3021187.5413658773,3408558.2363341535,4172328.7992550493,0.30036,0.29647,0.27984,0.27824,1.1282,1.0132
T1W,7T_to_0.1T,0.1T,0009,prod_cc,96992.56314691949,423005.6434273084,3038726.1154443105,0.86805,0.93064,0.62682,0.61101,4.3612,0.5109
T1W,7T_to_1.5T,1.5T,0006,prod_cc,1897055.3760553743,2034804.5006116256,2278349.510741159,0.21549,0.25104,0.20505,0.20499,1.0726,1.2313
T1W,7T_to_1.5T,1.5T,0007,prod_cc,1470395.4711452967,1857157.4794132893,2481928.582217498,0.30967,0.30315,0.23432,0.23357,1.263,1.0132
T1W,7T_to_1.5T,1.5T,0009,prod_cc,122942.54179752797,472196.35224449955,2347655.3011132665,0.80629,0.89896,0.47695,0.4696,3.8408,0.5109
T1W,7T_to_3T,3T,0006,prod_cc,2109516.6953458865,2723412.7120915316,3803023.1198128695,0.34994,0.27831,0.27474,0.27139,1.291,1.2313
T1W,7T_to_3T,3T,0007,prod_cc,1276883.3752533437,1566671.6177352502,2147316.1520779505,0.36804,0.36332,0.32376,0.31861,1.2269,1.0132
T1W,7T_to_3T,3T,0009,prod_cc,64560.91736870019,390907.932372218,3624040.6030706316,0.89559,0.94574,0.58897,0.56908,6.0549,0.5109
T1W,7T_to_5T,5T,0006,prod_cc,949019.444461776,655813.9212523572,482299.0247689652,0.49816,0.7967,0.24565,0.24509,0.691,1.2313
T1W,7T_to_5T,5T,0007,prod_cc,674851.576998562,510627.65712458955,419208.730313553,0.41674,0.42925,0.2799,0.27794,0.7567,1.0132
T1W,7T_to_5T,5T,0009,prod_cc,48802.365936178685,126892.70662499042,416859.8667648289,0.71293,0.84824,0.45664,0.44987,2.6001,0.5109
T2W,0.1T_to_1.5T,1.5T,0006,prod_cc,1232150.51296862,1084860.0336735016,1053998.0622526873,0.33236,0.35159,0.3062,0.30597,0.8805,1.0403
T2W,0.1T_to_1.5T,1.5T,0007,prod_cc,899748.6722228607,1010571.0067607162,1262138.848272205,0.33394,0.39376,0.31733,0.3152,1.1232,0.8471
T2W,0.1T_to_1.5T,1.5T,0009,prod_cc,896536.1308829789,882606.4074477562,941559.8851580386,0.27822,0.31312,0.27781,0.27754,0.9845,0.8364
T2W,0.1T_to_3T,3T,0006,prod_cc,1108448.6020982047,1009784.0121796979,1047448.655702306,0.36077,0.37344,0.34895,0.3487,0.911,1.0403
T2W,0.1T_to_3T,3T,0007,prod_cc,788063.6817981178,906495.4078932429,1205000.389970746,0.38657,0.44136,0.36697,0.36454,1.1503,0.8471
T2W,0.1T_to_3T,3T,0009,prod_cc,830033.2390465185,880627.2452569734,1037442.3052186009,0.31998,0.37383,0.3153,0.31514,1.061,0.8364
T2W,0.1T_to_5T,5T,0006,prod_cc,798419.7857853873,912758.0719614269,1191192.352619564,0.37116,0.36209,0.35215,0.35164,1.1432,1.0403
T2W,0.1T_to_5T,5T,0007,prod_cc,526667.5716685607,690379.7051601395,1077761.0679211018,0.45556,0.5152,0.40039,0.39633,1.3108,0.8471
T2W,0.1T_to_5T,5T,0009,prod_cc,564360.488197524,610056.086761068,752323.4874621978,0.35828,0.41026,0.35135,0.35089,1.081,0.8364
T2W,0.1T_to_7T,7T,0006,prod_cc,551208.644681111,774470.5649570827,1244475.9123391546,0.44528,0.42958,0.35441,0.35338,1.405,1.0403
T2W,0.1T_to_7T,7T,0007,prod_cc,398776.39545875404,488673.58462305804,706741.0565468612,0.42586,0.48318,0.39074,0.3851,1.2254,0.8471
T2W,0.1T_to_7T,7T,0009,prod_cc,469381.2853647987,608515.3303476252,870119.0455511197,0.37517,0.45552,0.30554,0.30495,1.2964,0.8364
T2W,1.5T_to_0.1T,0.1T,0006,prod_cc,2215195.3363233334,2546839.1286638114,3046546.1901859995,0.23487,0.25707,0.19715,0.19695,1.1497,0.9562
T2W,1.5T_to_0.1T,0.1T,0007,prod_cc,2412702.936782028,2172707.152239132,2031185.3539286666,0.22018,0.19793,0.19165,0.19123,0.9005,0.9459
T2W,1.5T_to_0.1T,0.1T,0009,prod_cc,1749554.9743241076,1733323.2872494217,1781409.011151804,0.19001,0.22694,0.18979,0.18967,0.9907,0.8652
T2W,1.5T_to_3T,3T,0006,prod_cc,925173.9888754684,933238.6109667782,1047448.655702306,0.31833,0.32203,0.31823,0.30967,1.0087,0.9562
T2W,1.5T_to_3T,3T,0007,prod_cc,1100018.6652332617,1106379.4473315452,1205000.389970746,0.2767,0.2825,0.27665,0.2765,1.0058,0.9459
T2W,1.5T_to_3T,3T,0009,prod_cc,874808.0119404834,917682.7425898021,1037442.3052186009,0.27223,0.31715,0.26849,0.25697,1.049,0.8652
T2W,1.5T_to_5T,5T,0006,prod_cc,648976.4278637682,845012.5204972591,1191192.352619564,0.35503,0.37616,0.27628,0.2751,1.3021,0.9562
T2W,1.5T_to_5T,5T,0007,prod_cc,794144.0420738357,888036.33567002,1077761.0679211018,0.29819,0.317,0.28039,0.27995,1.1182,0.9459
T2W,1.5T_to_5T,5T,0009,prod_cc,609217.6465314395,651612.8296869696,752323.4874621978,0.27841,0.32777,0.27128,0.26838,1.0696,0.8652
T2W,1.5T_to_7T,7T,0006,prod_cc,514710.3039978257,763127.7113800691,1244475.9123391546,0.43263,0.45325,0.30138,0.30011,1.4826,0.9562
T2W,1.5T_to_7T,7T,0007,prod_cc,598726.3541820257,624281.9629757042,706741.0565468612,0.28375,0.29479,0.28102,0.27991,1.0427,0.9459
T2W,1.5T_to_7T,7T,0009,prod_cc,546754.9028775332,664837.9550434551,870119.0455511197,0.31657,0.38501,0.26628,0.25942,1.216,0.8652
T2W,3T_to_0.1T,0.1T,0006,prod_cc,2288514.440728441,2580891.7130027227,3046546.1901859995,0.23849,0.26886,0.21122,0.21034,1.1278,0.9358
T2W,3T_to_0.1T,0.1T,0007,prod_cc,2358172.6212218436,2137660.7762449374,2031185.3539286666,0.23694,0.21582,0.21446,0.21363,0.9065,0.929
T2W,3T_to_0.1T,0.1T,0009,prod_cc,2016606.4637349907,1859340.0285831639,1781409.011151804,0.21103,0.19421,0.19404,0.19343,0.922,0.9298
T2W,3T_to_1.5T,1.5T,0006,prod_cc,1044146.6901464632,1008502.0055989975,1053998.0622526873,0.27746,0.27699,0.27537,0.27459,0.9659,0.9358
T2W,3T_to_1.5T,1.5T,0007,prod_cc,1196749.022531867,1190184.0441403233,1262138.848272205,0.24942,0.25739,0.24937,0.24864,0.9945,0.929
T2W,3T_to_1.5T,1.5T,0009,prod_cc,991321.5780273066,939823.7788683883,941559.8851580386,0.23778,0.23248,0.23173,0.23115,0.9481,0.9298
T2W,3T_to_5T,5T,0006,prod_cc,694826.6858850423,870904.6547798641,1191192.352619564,0.34794,0.37741,0.28914,0.2876,1.2534,0.9358
T2W,3T_to_5T,5T,0007,prod_cc,801290.9335006017,894717.0357580686,1077761.0679211018,0.28836,0.31497,0.27027,0.26926,1.1166,0.929
T2W,3T_to_5T,5T,0009,prod_cc,678532.3837396643,690790.5902491736,752323.4874621978,0.25592,0.26875,0.25535,0.25484,1.0181,0.9298
T2W,3T_to_7T,7T,0006,prod_cc,526619.6205438256,773268.6309331488,1244475.9123391546,0.42479,0.45566,0.296,0.293,1.4684,0.9358
T2W,3T_to_7T,7T,0007,prod_cc,612276.6541644611,631196.835615165,706741.0565468612,0.28305,0.29713,0.28159,0.27926,1.0309,0.929
T2W,3T_to_7T,7T,0009,prod_cc,594932.2353764452,695290.239537101,870119.0455511197,0.29255,0.32426,0.25716,0.25593,1.1687,0.9298
T2W,5T_to_0.1T,0.1T,0006,prod_cc,3103925.666864125,3031593.041218304,3046546.1901859995,0.16927,0.25839,0.16762,0.16728,0.9767,1.1715
T2W,5T_to_0.1T,0.1T,0007,prod_cc,2789997.457322498,2339462.791439383,2031185.3539286666,0.26464,0.32729,0.18498,0.18451,0.8385,1.0689
T2W,5T_to_0.1T,0.1T,0009,prod_cc,1941040.8044719163,1825956.6027386659,1781409.011151804,0.19899,0.18934,0.18912,0.18856,0.9407,0.9494
T2W,5T_to_1.5T,1.5T,0006,prod_cc,1454728.02025264,1202824.2317890902,1053998.0622526873,0.31272,0.46945,0.23751,0.23749,0.8268,1.1715
T2W,5T_to_1.5T,1.5T,0007,prod_cc,1365421.4296046516,1276449.345224412,1262138.848272205,0.24322,0.27203,0.23358,0.23336,0.9348,1.0689
T2W,5T_to_1.5T,1.5T,0009,prod_cc,999339.9852468356,946210.2077544085,941559.8851580386,0.22691,0.22022,0.2202,0.21994,0.9468,0.9494
T2W,5T_to_3T,3T,0006,prod_cc,1398856.3383876788,1163567.8407244696,1047448.655702306,0.3373,0.4797,0.27566,0.27564,0.8318,1.1715
