arm,n,nrmse_norm,ssim_norm,psnr_norm,nrmse_norm_fg,seconds
prod_sgd20,3,0.14480771002640772,0.8057055664560577,23.410951901316153,0.43670646960283444,101.76999807357788
prod_sgd200,3,0.14173533029167965,0.8084622606887973,23.61129331831933,0.4276070273854094,1494.8172194163005
prod_adam,3,0.4341289521492068,0.4808824544762951,13.826981366847454,0.7139616878646443,215.41444945335388
mod_shift,3,0.1396297528148943,0.7795725361575129,23.72384298887272,0.40620438360037187,140.23983176549277
mod_scale,3,0.1268263102042681,0.796208668833332,24.612443427944275,0.37484401701525805,192.83944781621298
mod_lora4,3,0.10189221120669528,0.8525220247795483,26.61305401885716,0.30862789771502896,462.7074417273204
mod_lora16,3,0.0736660949773616,0.9027094663417246,29.44867079097894,0.2202665018327626,468.6217025121053
mod_lora64,3,0.05309709359234251,0.9350768326431069,32.31778245435735,0.154820737756877,481.87415130933124
