modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T2W,3T_to_0.1T,0.1T,0007,batch8,1293541.2237737388,1587203.276285563,2031185.3539286666,0.27204,0.31263,0.20294,0.20157,1.227,0.929
T2W,3T_to_0.1T,0.1T,0009,batch8,1112455.65395188,1377322.501074722,1781409.011151804,0.27956,0.31953,0.20676,0.20535,1.2381,0.9298
T2W,3T_to_1.5T,1.5T,0006,batch8,987851.8749486965,992978.470475201,1053998.0622526873,0.23028,0.23982,0.23023,0.23008,1.0052,0.9358
T2W,3T_to_1.5T,1.5T,0007,batch8,1101613.623334511,1149399.0222137356,1262138.848272205,0.22686,0.24746,0.22321,0.22291,1.0434,0.929
T2W,3T_to_1.5T,1.5T,0009,batch8,993559.6352991223,949360.6146443419,941559.8851580386,0.19661,0.19305,0.19123,0.19108,0.9555,0.9298
T2W,3T_to_5T,5T,0006,batch8,561002.3108016088,795176.7247958527,1191192.352619564,0.3686,0.40378,0.23196,0.23083,1.4174,0.9358
T2W,3T_to_5T,5T,0007,batch8,658700.4023973439,823994.960306629,1077761.0679211018,0.28651,0.32702,0.20881,0.20822,1.2509,0.929
T2W,3T_to_5T,5T,0009,batch8,610912.6025772749,663101.32092677,752323.4874621978,0.22187,0.25093,0.20808,0.20787,1.0854,0.9298
T2W,3T_to_7T,7T,0006,batch8,559123.4787293591,802194.1330255845,1244475.9123391546,0.4001,0.43243,0.27416,0.27389,1.4347,0.9358
T2W,3T_to_7T,7T,0007,batch8,623493.3994214797,639711.3903300688,706741.0565468612,0.26813,0.28213,0.26702,0.26682,1.026,0.929
T2W,3T_to_7T,7T,0009,batch8,615203.5860527236,712491.3498123455,870119.0455511197,0.26334,0.29753,0.2273,0.22708,1.1581,0.9298
T2W,5T_to_0.1T,0.1T,0006,batch8,1613558.792404782,2160618.4586892873,3046546.1901859995,0.33351,0.25537,0.22439,0.22285,1.339,1.1715
T2W,5T_to_0.1T,0.1T,0007,batch8,1517749.7963033428,1721899.2825412285,2031185.3539286666,0.22751,0.20361,0.19556,0.19468,1.1345,1.0689
T2W,5T_to_0.1T,0.1T,0009,batch8,1139532.8222739575,1392173.1045733218,1781409.011151804,0.27691,0.30442,0.21269,0.21154,1.2217,0.9494
T2W,5T_to_1.5T,1.5T,0006,batch8,1433999.6783887502,1197391.3043941357,1053998.0622526873,0.29739,0.45329,0.22671,0.22671,0.835,1.1715
T2W,5T_to_1.5T,1.5T,0007,batch8,1351395.4668810752,1272955.5024242077,1262138.848272205,0.23147,0.25928,0.22354,0.22348,0.942,1.0689
T2W,5T_to_1.5T,1.5T,0009,batch8,1050096.5613971907,974824.3602954367,941559.8851580386,0.21122,0.19844,0.19719,0.19714,0.9283,0.9494
T2W,5T_to_3T,3T,0006,batch8,1505954.5117637007,1220368.1818220497,1047448.655702306,0.32797,0.49334,0.23634,0.23619,0.8104,1.1715
T2W,5T_to_3T,3T,0007,batch8,1412752.5337504842,1278979.7249385882,1205000.389970746,0.22276,0.26549,0.19776,0.19764,0.9053,1.0689
T2W,5T_to_3T,3T,0009,batch8,1054390.7695222734,1026671.9390292348,1037442.3052186009,0.19261,0.19235,0.19078,0.19077,0.9737,0.9494
T2W,5T_to_7T,7T,0006,batch8,887959.6635133509,1019935.6367587878,1244475.9123391546,0.27273,0.24288,0.24211,0.24208,1.1486,1.1715
T2W,5T_to_7T,7T,0007,batch8,819724.1370451265,736335.1589218273,706741.0565468612,0.27589,0.31286,0.25321,0.2532,0.8983,1.0689
T2W,5T_to_7T,7T,0009,batch8,672470.7395897856,750683.2042931295,870119.0455511197,0.21766,0.24177,0.19215,0.19212,1.1163,0.9494
T2W,7T_to_0.1T,0.1T,0006,batch8,2209268.9616922364,2524150.4358217246,3046546.1901859995,0.26099,0.2509,0.23105,0.22979,1.1425,1.2574
T2W,7T_to_0.1T,0.1T,0007,batch8,1274998.1072924654,1551281.7610690726,2031185.3539286666,0.31662,0.3762,0.26603,0.2642,1.2167,0.881
T2W,7T_to_0.1T,0.1T,0009,batch8,1452267.3652437376,1575381.6897793212,1781409.011151804,0.21574,0.2265,0.2017,0.20084,1.0848,0.9706
T2W,7T_to_1.5T,1.5T,0006,batch8,1686033.6211330455,1261025.6925920444,1053998.0622526873,0.45477,0.72136,0.3243,0.32406,0.7479,1.2574
T2W,7T_to_1.5T,1.5T,0007,batch8,1121321.8528731978,1142815.7512177716,1262138.848272205,0.27841,0.30685,0.27782,0.27734,1.0192,0.881
T2W,7T_to_1.5T,1.5T,0009,batch8,1273782.3011053356,1060220.3178459876,941559.8851580386,0.31748,0.29773,0.25053,0.25042,0.8323,0.9706
T2W,7T_to_3T,3T,0006,batch8,1793642.7939870371,1295920.5889179897,1047448.655702306,0.48781,0.77202,0.32573,0.3257,0.7225,1.2574
T2W,7T_to_3T,3T,0007,batch8,1079780.8168848883,1094598.1080368422,1205000.389970746,0.28164,0.30814,0.28134,0.2811,1.0137,0.881
T2W,7T_to_3T,3T,0009,batch8,1299202.303311818,1122413.2393388955,1037442.3052186009,0.2975,0.2821,0.25557,0.25556,0.8639,0.9706
T2W,7T_to_5T,5T,0006,batch8,1346797.5186512677,1213232.2051102489,1191192.352619564,0.30598,0.47566,0.28724,0.28716,0.9008,1.2574
T2W,7T_to_5T,5T,0007,batch8,679845.0002655557,815834.0683772182,1077761.0679211018,0.34184,0.39476,0.30268,0.30124,1.2,0.881
T2W,7T_to_5T,5T,0009,batch8,911917.3740238351,803720.6550137717,752323.4874621978,0.27477,0.26096,0.24173,0.24173,0.8814,0.9706
T2FLAIR,0.1T_to_1.5T,1.5T,0006,batch8,1921728.6113420376,2630783.9363667574,3704485.241900683,0.31374,0.45528,0.16677,0.16671,1.369,0.7808
T2FLAIR,0.1T_to_1.5T,1.5T,0007,batch8,2246935.363764644,2253476.7390864175,2403060.007326249,0.24398,0.28675,0.24396,0.24272,1.0029,0.8471
T2FLAIR,0.1T_to_1.5T,1.5T,0009,batch8,3004655.459106215,3271851.3464446925,3614964.803524517,0.14492,0.13636,0.12012,0.12011,1.0889,1.0181
T2FLAIR,0.1T_to_3T,3T,0006,batch8,912236.9467813543,1675989.6856370247,3201802.1028532293,0.48786,0.5969,0.1957,0.19547,1.8372,0.7808
T2FLAIR,0.1T_to_3T,3T,0007,batch8,1048368.7007305545,1983674.3252699897,4039395.2516535604,0.52666,0.5952,0.26608,0.26432,1.8922,0.8471
T2FLAIR,0.1T_to_3T,3T,0009,batch8,1500606.2199861887,2070706.3570308846,2922789.7148233815,0.31061,0.29929,0.14958,0.14949,1.3799,1.0181
T2FLAIR,0.1T_to_5T,5T,0006,batch8,1048254.2732958331,1525043.440528567,2299005.2186109903,0.35953,0.49204,0.1869,0.18659,1.4548,0.7808
T2FLAIR,0.1T_to_5T,5T,0007,batch8,1245333.7553187774,2000220.2673189384,3437860.7689578496,0.44564,0.52367,0.25592,0.25418,1.6062,0.8471
T2FLAIR,0.1T_to_5T,5T,0009,batch8,1973974.1314403298,2334616.7347295145,2814392.0717861857,0.20574,0.19472,0.13754,0.13749,1.1827,1.0181
T2FLAIR,0.1T_to_7T,7T,0006,batch8,468154.79528173746,551675.3546585608,717328.423282181,0.33838,0.44374,0.30615,0.30554,1.1784,0.7808
T2FLAIR,0.1T_to_7T,7T,0007,batch8,533355.7861294106,421695.94770262815,382671.7109971353,0.43567,0.36491,0.35878,0.35649,0.7906,0.8471
T2FLAIR,0.1T_to_7T,7T,0009,batch8,764462.556021207,556908.2118017361,421776.31009726715,0.41438,0.43605,0.1952,0.19507,0.7285,1.0181
T2FLAIR,1.5T_to_0.1T,0.1T,0006,batch8,4207984.306269211,3043102.4179128525,2259008.3832891113,0.41057,0.47665,0.16067,0.16052,0.7232,1.052
T2FLAIR,1.5T_to_0.1T,0.1T,0007,batch8,2752712.1107920343,2630111.2758875666,2660831.9270433867,0.24005,0.28081,0.23573,0.2357,0.9555,0.8054
T2FLAIR,1.5T_to_0.1T,0.1T,0009,batch8,4073582.3113162555,3796250.497584109,3579186.2731723343,0.12976,0.19072,0.10753,0.1075,0.9319,1.0796
T2FLAIR,1.5T_to_3T,3T,0006,batch8,1909186.505706144,2454577.1908759065,3201802.1028532293,0.25107,0.21666,0.11991,0.11985,1.2857,1.052
T2FLAIR,1.5T_to_3T,3T,0007,batch8,1113746.5314670468,2109219.4992942996,4039395.2516535604,0.48104,0.58115,0.10548,0.10543,1.8938,0.8054
T2FLAIR,1.5T_to_3T,3T,0009,batch8,1946575.7453980711,2371836.4976320094,2922789.7148233815,0.20737,0.15514,0.10591,0.10586,1.2185,1.0796
T2FLAIR,1.5T_to_5T,5T,0006,batch8,2543664.90385236,2402372.09172461,2299005.2186109903,0.12844,0.16085,0.11438,0.11431,0.9445,1.052
T2FLAIR,1.5T_to_5T,5T,0007,batch8,1307049.7948583881,2108862.3580625365,3437860.7689578496,0.3916,0.50843,0.10135,0.10126,1.6135,0.8054
T2FLAIR,1.5T_to_5T,5T,0009,batch8,2521086.39701654,2651144.761965399,2814392.0717861857,0.10859,0.10055,0.097,0.09699,1.0516,1.0796
T2FLAIR,1.5T_to_7T,7T,0006,batch8,989782.2501411621,819826.8376089706,717328.423282181,0.30666,0.34985,0.23099,0.23084,0.8283,1.052
T2FLAIR,1.5T_to_7T,7T,0007,batch8,605005.4114976772,470282.44972644706,382671.7109971353,0.35088,0.2144,0.21146,0.21138,0.7773,0.8054
