modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,0.1T_to_7T,7T,0006,n50,724618.6106193905,666817.9268458409,714032.7582231096,0.3835,0.42071,0.37499,0.37498,0.9202,1.1096
T1W,0.1T_to_7T,7T,0007,n50,764036.1907951607,578432.7362083663,497434.91620167723,0.45857,0.49677,0.3459,0.34588,0.7571,1.0448
T1W,0.1T_to_7T,7T,0009,n50,558045.583882716,229016.80354450617,105526.6012830897,1.39562,1.49386,0.33069,0.33068,0.4104,1.0439
T1W,7T_to_0.1T,0.1T,0006,n50,3304406.1406501643,3485353.816564957,4064236.846109953,0.31291,0.3476,0.30899,0.30648,1.0548,1.2313
T1W,7T_to_0.1T,0.1T,0007,n50,2552068.76020424,3112664.04391893,4172328.7992550493,0.34585,0.34086,0.30017,0.29637,1.2197,1.0132
T1W,7T_to_0.1T,0.1T,0009,n50,561506.3973537557,1262423.2399233666,3038726.1154443105,0.59489,0.78975,0.25683,0.25559,2.2483,0.5109
T1W,1.5T_to_7T,7T,0006,n50,828158.3235495071,720458.2021973139,714032.7582231096,0.37661,0.47237,0.3496,0.34955,0.87,1.1649
T1W,1.5T_to_7T,7T,0007,n50,910589.2663140309,629476.4613890774,497434.91620167723,0.54743,0.72753,0.35386,0.35383,0.6913,1.1611
T1W,1.5T_to_7T,7T,0009,n50,794846.0090744199,269782.4563650224,105526.6012830897,1.84909,2.53218,0.3637,0.3637,0.3394,1.2525
T1W,7T_to_1.5T,1.5T,0006,n50,1495753.6165317656,1771942.2946006665,2278349.510741159,0.31788,0.28301,0.28047,0.2786,1.1846,1.2313
T1W,7T_to_1.5T,1.5T,0007,n50,1201335.5935036726,1643507.3834125064,2481928.582217498,0.39957,0.39377,0.30673,0.30349,1.3681,1.0132
T1W,7T_to_1.5T,1.5T,0009,n50,271804.13289534696,768809.6980635978,2347655.3011132665,0.67884,0.83402,0.27149,0.26997,2.8285,0.5109
T2W,0.1T_to_7T,7T,0006,n50,1575691.239094208,1307626.2752014399,1244475.9123391546,0.40578,0.42903,0.35779,0.35764,0.8299,1.0403
T2W,0.1T_to_7T,7T,0007,n50,1056789.5054027736,810116.0051308532,706741.0565468612,0.45029,0.3619,0.34827,0.34825,0.7666,0.8471
T2W,0.1T_to_7T,7T,0009,n50,947107.8343829389,873957.4639467425,870119.0455511197,0.28224,0.2851,0.27049,0.27043,0.9228,0.8364
T2W,7T_to_0.1T,0.1T,0006,n50,2003237.6795131378,2392097.909367702,3046546.1901859995,0.29526,0.25501,0.2498,0.24796,1.1941,1.2574
T2W,7T_to_0.1T,0.1T,0007,n50,1341610.6334137437,1593615.5021709653,2031185.3539286666,0.30225,0.36091,0.26087,0.25924,1.1878,0.881
T2W,7T_to_0.1T,0.1T,0009,n50,1514667.0557989064,1610267.218917895,1781409.011151804,0.20593,0.21515,0.19753,0.19677,1.0631,0.9706
T2W,1.5T_to_7T,7T,0006,n50,602488.4200961689,810800.8038368159,1244475.9123391546,0.42555,0.44347,0.35102,0.35077,1.3458,0.9562
T2W,1.5T_to_7T,7T,0007,n50,732613.6426319575,678396.0622315357,706741.0565468612,0.34179,0.334,0.33338,0.33319,0.926,0.9459
T2W,1.5T_to_7T,7T,0009,n50,560611.9526522082,669648.3633330488,870119.0455511197,0.32416,0.38806,0.28409,0.28403,1.1945,0.8652
T2W,7T_to_1.5T,1.5T,0006,n50,1653176.6634273771,1239615.64965979,1053998.0622526873,0.46504,0.72261,0.34367,0.34309,0.7498,1.2574
T2W,7T_to_1.5T,1.5T,0007,n50,1060530.9530119407,1101311.57082357,1262138.848272205,0.30841,0.33869,0.30638,0.30537,1.0385,0.881
T2W,7T_to_1.5T,1.5T,0009,n50,1238604.3440430989,1043014.176438158,941559.8851580386,0.31619,0.29819,0.25918,0.25899,0.8421,0.9706
T2FLAIR,0.1T_to_7T,7T,0006,n50,572381.1007766362,614187.2496314815,717328.423282181,0.29241,0.38653,0.28504,0.28472,1.073,0.7808
T2FLAIR,0.1T_to_7T,7T,0007,n50,667313.0763186741,474110.7603952409,382671.7109971353,0.51568,0.39024,0.34606,0.34413,0.7105,0.8471
T2FLAIR,0.1T_to_7T,7T,0009,n50,926227.4814224687,613088.4919499278,421776.31009726715,0.53744,0.56256,0.19453,0.19443,0.6619,1.0181
T2FLAIR,7T_to_0.1T,0.1T,0006,n50,2693737.066150813,2397690.0378895146,2259008.3832891113,0.26393,0.24816,0.23507,0.23458,0.8901,0.9629
T2FLAIR,7T_to_0.1T,0.1T,0007,n50,1550184.1426252557,1942416.1658152891,2660831.9270433867,0.35012,0.53178,0.29204,0.29181,1.253,0.6708
T2FLAIR,7T_to_0.1T,0.1T,0009,n50,1627465.234686725,2380672.6735240994,3579186.2731723343,0.35273,0.54822,0.16438,0.16428,1.4628,0.6872
T2FLAIR,1.5T_to_7T,7T,0006,n50,1085071.9640156326,858299.5508741601,717328.423282181,0.34585,0.39568,0.23139,0.23127,0.791,1.052
T2FLAIR,1.5T_to_7T,7T,0007,n50,703666.7614747358,507676.4855175736,382671.7109971353,0.4307,0.23624,0.207,0.20696,0.7215,0.8054
T2FLAIR,1.5T_to_7T,7T,0009,n50,1113019.9423089647,674670.5012199163,421776.31009726715,0.6631,0.78853,0.17432,0.17423,0.6062,1.0796
T2FLAIR,7T_to_1.5T,1.5T,0006,n50,2337381.179521872,2881970.2426637122,3704485.241900683,0.27391,0.2946,0.20192,0.20172,1.233,0.9629
T2FLAIR,7T_to_1.5T,1.5T,0007,n50,1339596.6038167225,1768462.0445227784,2403060.007326249,0.2926,0.51336,0.16875,0.16863,1.3201,0.6708
T2FLAIR,7T_to_1.5T,1.5T,0009,n50,1408026.7152176,2229139.8348212535,3614964.803524517,0.39524,0.58001,0.15412,0.15409,1.5832,0.6872
