method,modality,subject,src_field,tgt_field,mae,mse,ssim,nrmse,lpips
cfm3d_0p1T_7T,T1W,0006,0.1T,7T,0.32211145758628845,0.17287404835224152,0.28205200042453205,1.631024378390285,0.3864250756800175
cfm3d_0p1T_7T,T1W,0007,0.1T,7T,0.3913429081439972,0.23396067321300507,0.23524657703235458,2.18160774853456,0.41901763565838335
cfm3d_0p1T_7T,T1W,0009,0.1T,7T,0.3475961685180664,0.24109689891338348,0.1775120228144797,4.771432818429809,0.486277699843049
