modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T1W,5T_to_1.5T,1.5T,0009,srclevel,943440.1887291127,1468656.368412146,2347655.3011132665,0.3882,0.53708,0.16171,0.16162,1.5567,0.7488
T1W,5T_to_3T,3T,0006,srclevel,949206.6345477164,1842188.2875991156,3803023.1198128695,0.5299,0.63235,0.24473,0.24146,1.9408,0.7737
T1W,5T_to_3T,3T,0007,srclevel,743510.8306566059,1211300.4968483958,2147316.1520779505,0.46696,0.61804,0.28459,0.28,1.6292,0.6968
T1W,5T_to_3T,3T,0009,srclevel,863817.5548836489,1719624.8243932393,3624040.6030706316,0.53791,0.65041,0.23535,0.23236,1.9907,0.7488
T1W,5T_to_7T,7T,0006,srclevel,391617.5612752667,508776.8653172085,714032.7582231096,0.35125,0.47513,0.27256,0.27251,1.2992,0.7737
T1W,5T_to_7T,7T,0007,srclevel,380940.692464894,416849.48191758676,497434.91620167723,0.29969,0.45165,0.28811,0.28806,1.0943,0.6968
T1W,5T_to_7T,7T,0009,srclevel,341289.369816947,181765.0862663021,105526.6012830897,0.88839,0.48357,0.28748,0.28747,0.5326,0.7488
T1W,7T_to_0.1T,0.1T,0006,srclevel,4182189.1090155276,3974426.5868351576,4064236.846109953,0.27059,0.38979,0.26585,0.26549,0.9503,1.2313
T1W,7T_to_0.1T,0.1T,0007,srclevel,2767879.552375625,3248071.8407606427,4172328.7992550493,0.32624,0.32174,0.29405,0.29212,1.1735,1.0132
T1W,7T_to_0.1T,0.1T,0009,srclevel,106429.99558085694,458979.3901268644,3038726.1154443105,0.85612,0.92455,0.59045,0.57646,4.3125,0.5109
T1W,7T_to_1.5T,1.5T,0006,srclevel,1877927.9414726677,2025342.958295001,2278349.510741159,0.21528,0.24601,0.20314,0.20309,1.0785,1.2313
T1W,7T_to_1.5T,1.5T,0007,srclevel,1383457.3140509524,1802235.8846133237,2481928.582217498,0.32423,0.31747,0.23249,0.2318,1.3027,1.0132
T1W,7T_to_1.5T,1.5T,0009,srclevel,128205.67996064578,487395.5579200218,2347655.3011132665,0.79962,0.8956,0.45906,0.45214,3.8017,0.5109
T1W,7T_to_3T,3T,0006,srclevel,2061848.9876599174,2692206.279030917,3803023.1198128695,0.35544,0.28047,0.27507,0.2718,1.3057,1.2313
