arm,n,nrmse_norm,ssim_norm,psnr_norm,nrmse_norm_fg,nrmse_slab,ssim_slab,nrmse_full,ssim_full,fg_std,seconds
noop,15,0.0,1.0,99.0,0.0,1.0619547361132991e-08,0.9999999999999932,1.6767552515511797e-08,0.9999999999999899,0.16306089709202448,11.545475085576376
protocol,15,0.0,1.0,99.0,0.0,0.06850595435088574,0.9716962646036512,0.07054741732192021,0.984369785032937,0.40566232601801555,4.782596429189046
protocol_noclip,15,0.0,1.0,99.0,0.0,0.03263139070884305,0.9907112466846176,0.03642887444631116,0.9938478999650362,0.24221514662106833,4.329068120320638
protocol_nocrop,15,0.0,1.0,99.0,0.0,0.06850595435088574,0.9716962646036512,0.07054741732192021,0.984369785032937,0.40566232601801555,4.240282599131266
prod,15,0.05973233978213068,0.9412040421951784,31.41982797979391,0.2641863354253687,0.11396962314662439,0.8983703364856009,0.11839246182401908,0.9414653444156529,0.40566232601801555,18.741490650177003
prod_mode,15,0.05974815896286204,0.9413437818247552,31.41689108946368,0.2641821133518383,0.11394665118903367,0.8983908854130417,0.11837067925371163,0.9414755354884167,0.40566232601801555,17.53221675554911
prod_fp32,15,0.059702222509359894,0.94144205750565,31.42864907873151,0.2643131916163017,0.11399968161763278,0.8983667453375948,0.11841650903296147,0.9414700502320457,0.40566232601801555,21.42769765853882
prod_mode_fp32,15,0.05970220305470264,0.9414420854090167,31.428653295330793,0.2643131140100852,0.11399975475978005,0.8983664670896919,0.11841648500212426,0.9414701120898751,0.40566232601801555,21.4198334534963
prod_margin32,15,0.059462536690161785,0.9415581272595852,31.458361117394663,0.2625460348770937,0.11374410435146515,0.8987239687437177,0.11810707438774423,0.9416718275128048,0.40566232601801555,25.770813735326133
prod_sw,15,0.05991880777639786,0.9408172735186715,31.353991347901278,0.26313451144749317,0.116760643771166,0.8979560306739063,0.12058673571719775,0.9416396089198739,0.40566232601801555,31.20795799891154
official,15,0.07366861287010522,0.9034322389337274,31.29560463813791,0.21914009279252059,0.15086174148295373,0.896828658612393,0.1548846616151112,0.9362762064324447,0.24009336034456888,9.569502544403075
official_1mm_pct,15,0.11674943270309643,0.8730608534106014,26.631014203802692,0.28982313540962296,0.12147086621951571,0.8898668553831615,0.12856125146379285,0.9354230810657197,0.4046285430590312,10.842577075958252
prod_volpct,15,0.06025290610156176,0.9392321361187274,31.418822863701514,0.26362758211526355,0.100917585943784,0.9060357870051482,0.10576643932873855,0.9454232305575127,0.4024090230464935,21.573368755976357
prod_p999,15,0.05513741339495208,0.942313023124873,32.19321177113198,0.25828625012339684,0.0985520779294001,0.9074300131143883,0.10405563596556804,0.9460837133082493,0.3678427040576935,21.545522117614745
prod_hi050,15,0.058866475922965865,0.9616954576266405,31.136201785631513,0.1474478064887815,0.38995657130154054,0.7900643908769156,0.3873968432421306,0.8817017758064544,0.37471094926198323,21.457852284113567
prod_hi075,15,0.06255202106002253,0.949839179445065,30.922742884995568,0.21296898057724759,0.20277083090911605,0.8568757764195393,0.20265752625669092,0.9200676589343668,0.4235769251982371,21.489961290359496
