method,task,field,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
ceiling_vectorized,ceiling,0.1T,3,0.045951994205076056,0.9782996128841374,0.005666084154364481,0.0019833667219415147
ceiling_vectorized,ceiling,1.5T,3,0.10635743994044078,0.9480037271860718,0.018350084232127736,0.003518007816778552
ceiling_vectorized,ceiling,3T,3,0.1204081985784227,0.9228307427282857,0.03250669162577474,0.014619860105550308
ceiling_vectorized,ceiling,5T,3,0.12366450697014648,0.9560837331404498,0.006862119933311911,0.002823700805846562
ceiling_vectorized,ceiling,7T,3,0.14428593142135362,0.9644130259942648,0.018922667356525265,0.00859658841289217
