arm,n,nrmse_norm,ssim_norm,psnr_norm,nrmse_norm_fg,nrmse_slab,ssim_slab,nrmse_full,ssim_full,fg_std,seconds
lpips,15,0.05382260422633291,0.9527853900032535,32.32999420832356,0.23991802958448394,0.106290885847431,0.9129328774950521,0.11036536431038278,0.9500078019014236,0.40566232601801555,53.85305283864339
lpips_p999,15,0.04969082288301837,0.9535189898296544,33.07691080508456,0.23293663086526298,0.08893679173887409,0.9234481644480679,0.09388497275286506,0.9552195908521167,0.3678427040576935,51.62327151298523
medvae8,15,0.13843849017682563,0.8111189145430784,23.878571827345947,0.5923888842239127,0.21950536651101255,0.7777615638079675,0.24403093260003877,0.8636540639455902,0.40566232601801555,85.56994531949361
prod_hi125,15,0.05221697987489672,0.9430735549656422,32.77267800042039,0.2751950820153596,0.09892601719984442,0.9077281057504016,0.10444775298035848,0.946221956456655,0.3472401003042857,50.93027612368266
prod_hi150,15,0.0445830237324863,0.9477958958737178,34.17273762124372,0.26219982545200027,0.10005357953873315,0.908856162912329,0.10556944153893959,0.9466949847620904,0.288964518904686,49.77955859502156
prod_hi200,15,0.0349257758700744,0.9526004978289289,36.16841425253031,0.20062495764166602,0.10533216660168002,0.9084946031895923,0.11107028634986028,0.9462052237072314,0.21282077531019847,48.964600261052446
