arm,modality,field,subject,nrmse_norm,ssim_norm,psnr_norm,nrmse_norm_fg,fg_fraction,fg_std,nrmse_slab,ssim_slab,nrmse_full,ssim_full,seconds
lpips,T1W,0.1T,0006,0.02488223390449511,0.9860657023835752,38.551026137186774,0.08054233416521216,0.1804959736173115,0.4781823456287384,0.04778839474220794,0.9636670535108741,0.05222834783384633,0.9761567719286202,82.20624470710754
lpips,T1W,1.5T,0006,0.051596447947298854,0.9682050540507132,32.032579718429496,0.14324571103852338,0.17920079306950645,0.4709251821041107,0.08717335649208513,0.915304160819053,0.09336821703150826,0.9550836502436593,49.54902458190918
lpips,T1W,3T,0006,0.05746210893744403,0.9599613317918625,31.15121306877,0.16689160372493542,0.17904190790085567,0.4584045708179474,0.12720479611530427,0.8686815636216435,0.12858151656780817,0.9239706224242428,51.37855267524719
lpips,T1W,5T,0006,0.06602413027331439,0.9326236017702655,30.36895319436826,0.4226374138558281,0.17718978155226933,0.33000269532203674,0.10708537329369096,0.9244290104021725,0.12294941164563322,0.9578202828087656,51.78397727012634
lpips,T1W,7T,0006,0.0686482913503242,0.9557868633386825,29.720746555676666,0.2253934833065712,0.17755902002728174,0.6194809675216675,0.13651883453418093,0.9195895300899212,0.14505926504659986,0.9593873484618329,51.86620020866394
lpips,T2W,0.1T,0006,0.03210189454250094,0.9710260352333123,36.40035713482396,0.10785599143046894,0.1875634571862599,0.37664446234703064,0.050341896087176756,0.9358039054178787,0.04920198715396254,0.9687904300227127,56.04562568664551
lpips,T2W,1.5T,0006,0.05047634638148181,0.9692986625008552,32.70155714268967,0.3043244472672537,0.1791196550641741,0.34290263056755066,0.11410659230379039,0.9352991220287772,0.11899265203899016,0.9606206356071492,52.00041913986206
lpips,T2W,3T,0006,0.0816347740580695,0.920553946661253,28.491945984411164,0.45267609626052036,0.1776301066080729,0.36619532108306885,0.18744143267430724,0.8875449271051205,0.18335781743798743,0.9298897499763751,51.90571475028992
lpips,T2W,5T,0006,0.07606700881283486,0.9265822374784758,29.11724604719939,0.4315242793172902,0.1787329779730903,0.3823048770427704,0.17948911023063566,0.9018363953208436,0.1758980325066822,0.9400376392779795,51.502493381500244
lpips,T2W,7T,0006,0.05880320409413905,0.9461163601288537,31.291351749829506,0.2822880503972028,0.17713516477554564,0.4491824507713318,0.15125194794514926,0.9066421058326621,0.16125680320685257,0.9516261316656907,51.598806381225586
lpips,T2FLAIR,0.1T,0006,0.03489940781008947,0.9648660355717373,35.921716497739425,0.2115511999619739,0.17963421533978174,0.28248804807662964,0.04331791276222846,0.9447597812602311,0.05651432545797053,0.9675227326558143,51.670926094055176
lpips,T2FLAIR,1.5T,0006,0.04685328800862697,0.9522773625572482,32.98937499208882,0.14454058464705502,0.17900799948071677,0.41166436672210693,0.06224353440467378,0.9084448698957817,0.06600422164138732,0.9440409826143236,51.65858721733093
lpips,T2FLAIR,3T,0006,0.05184405853865423,0.9538188374507103,31.906725858305336,0.13486707108127735,0.1779083978562128,0.40442827343940735,0.1343618899185067,0.8406590067264982,0.1296517581761651,0.9096334265349156,51.62305569648743
lpips,T2FLAIR,5T,0006,0.0548959004555541,0.9436689161582296,31.746530926762837,0.19897425900697602,0.17870694115048363,0.3661245107650757,0.07259755176543266,0.9012454593437954,0.0781242274513243,0.9436099502072716,51.53056001663208
lpips,T2FLAIR,7T,0006,0.051149968280165894,0.9409299029730299,32.55858811657212,0.29145791830617085,0.17735811263795884,0.3460041880607605,0.0934406644420951,0.9400862710505289,0.09429188145902373,0.9619266740920042,51.47560477256775
lpips_p999,T1W,0.1T,0006,0.022643537810536348,0.9854784510708531,39.54502670692798,0.09565992348040721,0.17994144984654017,0.4235321879386902,0.0333334644346915,0.9762077983216139,0.036330444525087796,0.9834843559863704,51.800389766693115
lpips_p999,T1W,1.5T,0006,0.0474123617781839,0.9606275708134204,33.01670027464886,0.17092920928418712,0.1787898956783234,0.4298098683357239,0.06475497944850366,0.9330056079695964,0.06771787677595331,0.9639115293754791,51.7722954750061
lpips_p999,T1W,3T,0006,0.05290864714453587,0.9518212512428996,32.10592080326023,0.20351996087014515,0.17861902146112352,0.438200980424881,0.07222692628719699,0.9062403853132132,0.07760642895480323,0.9420260161454134,51.24300146102905
lpips_p999,T1W,5T,0006,0.07595334743418017,0.9356697029275622,29.04703288445271,0.34554434802502215,0.17751905653211805,0.39384520053863525,0.10616297222983453,0.9259372874345264,0.12292006474044558,0.9580994054791757,52.59413027763367
lpips_p999,T1W,7T,0006,0.05409846623114523,0.955115631582234,31.97954554930842,0.24130135423193208,0.17592984154110863,0.49347788095474243,0.1078439052162853,0.931811640061864,0.10787379695907838,0.96661933559742,51.62016010284424
lpips_p999,T2W,0.1T,0006,0.030503174841886638,0.9714101209223007,36.99694207148577,0.13031783337929864,0.18717120942615328,0.3377801477909088,0.04447787890291183,0.9410273668863905,0.046525349099854695,0.9702602079400823,52.017439126968384
lpips_p999,T2W,1.5T,0006,0.04541651763334028,0.971988234773265,33.608157420027766,0.26380062690307016,0.17886122446211558,0.309123694896698,0.11001911374269338,0.935179385120488,0.11529666807524837,0.9606087487869606,52.15678691864014
lpips_p999,T2W,3T,0006,0.07136132954482768,0.9311149812720615,29.64342742475539,0.37635393644245846,0.17727455260261657,0.3239549696445465,0.18358083824243626,0.8878769289931671,0.18155642567470448,0.9299386364096391,51.79892611503601
lpips_p999,T2W,5T,0006,0.060702935684286814,0.9415211458036608,31.052886497119836,0.3214407880569631,0.17795441642640128,0.3120182156562805,0.15450879041456336,0.9046096368002269,0.157724909409603,0.9411514112361243,51.80577778816223
lpips_p999,T2W,7T,0006,0.04745473571485078,0.9527821092201368,33.16997082456639,0.24716758078415854,0.17434740823412698,0.3414486348628998,0.11527357978065297,0.9148394199369885,0.12266110504544302,0.9561934759985123,51.69177460670471
lpips_p999,T2FLAIR,0.1T,0006,0.03891316083058022,0.9637592020020184,34.84806879029696,0.15800761075903988,0.17972358824714782,0.33104896545410156,0.04197185871142167,0.9454982183178331,0.056743879486571655,0.9677439401944818,51.81785821914673
lpips_p999,T2FLAIR,1.5T,0006,0.04447393799415871,0.9528993385913281,33.60878395659674,0.16907582848124972,0.1787897745768229,0.3731885850429535,0.05960552698973291,0.912055457261459,0.06443627809010266,0.9454498016012544,51.64423704147339
lpips_p999,T2FLAIR,3T,0006,0.05390600965057661,0.9453927416760242,31.993305967218035,0.22848662470343314,0.1773192390562996,0.3539133071899414,0.07702866639860695,0.8957115201478332,0.08071448733474805,0.9368969642759329,51.45391607284546
lpips_p999,T2FLAIR,5T,0006,0.05282660528977915,0.9442986983949572,32.16274228991658,0.21924040379042634,0.17859903971354166,0.3446878492832184,0.07254864569714486,0.9018376008745485,0.07804176281891607,0.9439113344425948,52.022709608078
lpips_p999,T2FLAIR,7T,0006,0.04678757566240727,0.9389056671520967,33.37515061568671,0.3232034337871526,0.1771114288814484,0.31161007285118103,0.09071472958643513,0.9398842132812677,0.09212511430241599,0.96199869931231,48.90967011451721
medvae8,T1W,0.1T,0006,0.10626078632821039,0.8519173342690652,25.94135299673667,0.34295596405543455,0.1804959736173115,0.4781823456287384,0.14388654562809475,0.8233218950909258,0.15757769189524812,0.8867612497992127,105.29154586791992
medvae8,T1W,1.5T,0006,0.1545741122296711,0.8170011900585266,22.502240591498897,0.4230975554563014,0.17920079306950645,0.4709251821041107,0.19218114628217595,0.7649124585313947,0.2152314964584837,0.8635510582189122,83.9157485961914
medvae8,T1W,3T,0006,0.15186938662863753,0.8049405828559318,22.70943951333345,0.435615529349353,0.17904190790085567,0.4584045708179474,0.21268714288958462,0.7188246930854517,0.23407072523064912,0.8195444785371174,83.81811261177063
medvae8,T1W,5T,0006,0.13691640360334284,0.7833741863135839,24.033897315490186,0.8690837824653862,0.17718978155226933,0.33000269532203674,0.22298238427815223,0.7933471607822792,0.26107487326883894,0.8828068304847652,84.15984010696411
medvae8,T1W,7T,0006,0.1867103084650466,0.7961364271369185,21.029975269850315,0.6123755809328936,0.17755902002728174,0.6194809675216675,0.28072812768761407,0.7565197384261382,0.31729733115086906,0.8612069283027538,84.04164958000183
