volume,modality,field,subject,variant,nrmse,nrmse_full,ssim
R_T2W_1.5T_0240,T2W,1.5T,0240,conv@1mm,0.12486,0.12528,0.95278
R_T2W_1.5T_0240,T2W,1.5T,0240,inr@1mm,0.17557,0.18212,0.91217
R_T2W_1.5T_0240,T2W,1.5T,0240,conv@0.5mm,0.13923,0.141,0.9267
R_T2W_1.5T_0240,T2W,1.5T,0240,inr@0.5mm,0.18368,0.19518,0.8834
R_T2W_1.5T_0305,T2W,1.5T,0305,conv@1mm,0.1368,0.13714,0.94944
R_T2W_1.5T_0305,T2W,1.5T,0305,inr@1mm,0.17275,0.17814,0.90939
R_T2W_1.5T_0305,T2W,1.5T,0305,conv@0.5mm,0.15259,0.15397,0.92227
R_T2W_1.5T_0305,T2W,1.5T,0305,inr@0.5mm,0.18232,0.19175,0.88148
R_T2W_3T_0375,T2W,3T,0375,conv@1mm,0.23827,0.23855,0.92165
R_T2W_3T_0375,T2W,3T,0375,inr@1mm,0.27606,0.28538,0.87316
R_T2W_3T_0375,T2W,3T,0375,conv@0.5mm,0.23318,0.23473,0.89525
R_T2W_3T_0375,T2W,3T,0375,inr@0.5mm,0.28805,0.3023,0.84461
R_T2W_3T_0410,T2W,3T,0410,conv@1mm,0.1905,0.19073,0.91236
R_T2W_3T_0410,T2W,3T,0410,inr@1mm,0.2425,0.25169,0.85634
R_T2W_3T_0410,T2W,3T,0410,conv@0.5mm,0.19796,0.19925,0.87967
R_T2W_3T_0410,T2W,3T,0410,inr@0.5mm,0.2556,0.26993,0.82389
R_T2W_5T_0485,T2W,5T,0485,conv@1mm,0.17179,0.17199,0.93411
R_T2W_5T_0485,T2W,5T,0485,inr@1mm,0.23259,0.24308,0.88507
R_T2W_5T_0485,T2W,5T,0485,conv@0.5mm,0.18112,0.18326,0.91705
R_T2W_5T_0485,T2W,5T,0485,inr@0.5mm,0.24308,0.26076,0.86845
R_T2W_5T_0511,T2W,5T,0511,conv@1mm,0.19204,0.19225,0.9265
R_T2W_5T_0511,T2W,5T,0511,inr@1mm,0.25198,0.26254,0.8687
R_T2W_5T_0511,T2W,5T,0511,conv@0.5mm,0.20557,0.20769,0.90681
R_T2W_5T_0511,T2W,5T,0511,inr@0.5mm,0.26462,0.28226,0.85161
R_T2W_5T_0512,T2W,5T,0512,conv@1mm,0.1964,0.1967,0.92505
R_T2W_5T_0512,T2W,5T,0512,inr@1mm,0.26116,0.27561,0.86105
R_T2W_5T_0512,T2W,5T,0512,conv@0.5mm,0.20871,0.21152,0.90262
R_T2W_5T_0512,T2W,5T,0512,inr@0.5mm,0.27269,0.29663,0.84268
