modality,pair,method,hf_ratio
T1W,0.1T_to_7T,Vectorise,0.0307
T1W,0.1T_to_7T,UNet,0.0253
T1W,0.1T_to_7T,INR,0.221
T1W,0.1T_to_7T,Vectorise R-best,0.0196
T1W,0.1T_to_7T,Plafond MedVAE,0.2296
T1W,0.1T_to_7T,Plafond INR,0.8516
T1W,0.1T_to_3T,Vectorise,0.0317
T1W,0.1T_to_3T,UNet,0.0283
T1W,0.1T_to_3T,INR,0.1594
T1W,0.1T_to_3T,Vectorise R-best,0.0232
T1W,0.1T_to_3T,Plafond MedVAE,0.2093
T1W,0.1T_to_3T,Plafond INR,0.7418
T2W,0.1T_to_7T,Vectorise,0.0404
T2W,0.1T_to_7T,UNet,0.0301
T2W,0.1T_to_7T,INR,0.3262
T2W,0.1T_to_7T,Vectorise R-best,0.0244
T2W,0.1T_to_7T,Plafond MedVAE,0.3713
T2W,0.1T_to_7T,Plafond INR,0.6909
T2W,0.1T_to_3T,Vectorise,0.0247
T2W,0.1T_to_3T,UNet,0.0214
T2W,0.1T_to_3T,INR,0.1002
T2W,0.1T_to_3T,Vectorise R-best,0.0214
T2W,0.1T_to_3T,Plafond MedVAE,0.3482
T2W,0.1T_to_3T,Plafond INR,0.5641
T2FLAIR,0.1T_to_7T,Vectorise,0.2307
T2FLAIR,0.1T_to_7T,UNet,0.2002
T2FLAIR,0.1T_to_7T,INR,0.6076
T2FLAIR,0.1T_to_7T,Vectorise R-best,0.1574
T2FLAIR,0.1T_to_7T,Plafond MedVAE,0.3478
T2FLAIR,0.1T_to_7T,Plafond INR,1.1107
T2FLAIR,0.1T_to_3T,Vectorise,0.218
T2FLAIR,0.1T_to_3T,UNet,0.2004
T2FLAIR,0.1T_to_3T,INR,0.3521
T2FLAIR,0.1T_to_3T,Vectorise R-best,0.1595
T2FLAIR,0.1T_to_3T,Plafond MedVAE,0.3962
T2FLAIR,0.1T_to_3T,Plafond INR,0.8377
