method,task,pair,n_subjects,nrmse_mean,ssim_mean,lpips_mean,nrmse_std,ssim_std,lpips_std
mmfm_unet,task1,0.1T_to_7T,3,0.6656057864474416,0.8781918585766558,0.14489810301487063,0.328899435087568,0.0036010550382358938,0.006848545463598803
mmfm_unet,task1,1.5T_to_7T,3,0.9846253573151982,0.873685753333115,0.12331884612752425,0.6442472568410886,0.02306370603235306,0.013397958236897066
mmfm_unet,task1,3T_to_7T,3,0.8785734329095319,0.8935029345615956,0.10304409888775272,0.6864901954638,0.028333551054121525,0.013585250918871776
mmfm_unet,task1,5T_to_7T,3,0.5333409837915096,0.9155551398127219,0.0818120255793593,0.23363705189913908,0.0010699105223935545,0.006410470396165187
