arm,n,nrmse_norm,ssim_norm,psnr_norm,nrmse_norm_fg,seconds
grid1536,3,0.23808071674110054,0.6901581396349337,18.912358488576775,0.664098201510501,0.4855636755625407
grid129024,3,0.09539424515253854,0.8889334815210855,27.208127244717076,0.2835118247286323,0.448747714360555
siren_free_prod,3,0.030641663784602664,0.970971711152489,37.171560469061596,0.0866145841489074,666.0364092191061
siren_free_big,3,0.015711753385702645,0.9905192026947586,42.857914091645426,0.042817721024326016,1417.7255401611328
