modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T2W,3T_to_0.1T,0.1T,0006,R-best,1229880.0736425042,1882505.1175874318,3046546.1901859995,0.40972,0.44387,0.2328,0.23063,1.5306,0.9358
T2W,3T_to_0.1T,0.1T,0007,R-best,1378251.222495838,1640032.774636955,2031185.3539286666,0.25237,0.29225,0.19802,0.19685,1.1899,0.929
T2W,3T_to_0.1T,0.1T,0009,R-best,1189915.0306073474,1427277.754418327,1781409.011151804,0.25602,0.29588,0.19741,0.19629,1.1995,0.9298
T2W,3T_to_1.5T,1.5T,0006,R-best,925357.954667784,959991.3660988247,1053998.0622526873,0.23734,0.25331,0.23474,0.23452,1.0374,0.9358
T2W,3T_to_1.5T,1.5T,0007,R-best,1071459.3891896822,1131413.5709403458,1262138.848272205,0.2368,0.25902,0.23112,0.23076,1.056,0.929
T2W,3T_to_1.5T,1.5T,0009,R-best,935985.444335029,920994.6193141732,941559.8851580386,0.19433,0.20106,0.19367,0.19351,0.984,0.9298
T2W,3T_to_5T,5T,0006,R-best,749666.4537697783,923302.8762163371,1191192.352619564,0.28129,0.3169,0.21299,0.21291,1.2316,0.9358
T2W,3T_to_5T,5T,0007,R-best,869216.5877835471,949169.212721276,1077761.0679211018,0.21244,0.24439,0.19572,0.19571,1.092,0.929
T2W,3T_to_5T,5T,0009,R-best,770621.3798626035,746453.2045505805,752323.4874621978,0.19982,0.20116,0.19728,0.19728,0.9686,0.9298
T2W,3T_to_7T,7T,0006,R-best,565375.8650082619,804211.6083789438,1244475.9123391546,0.40232,0.434,0.28423,0.284,1.4224,0.9358
T2W,3T_to_7T,7T,0007,R-best,658632.6426397663,656270.4765453931,706741.0565468612,0.27341,0.28103,0.27339,0.2733,0.9964,0.929
T2W,3T_to_7T,7T,0009,R-best,593074.3241006791,698911.3989842485,870119.0455511197,0.2741,0.30913,0.23113,0.23089,1.1785,0.9298
T2W,5T_to_0.1T,0.1T,0006,R-best,1598325.515745729,2145304.0768038086,3046546.1901859995,0.341,0.26482,0.23418,0.23242,1.3422,1.1715
T2W,5T_to_0.1T,0.1T,0007,R-best,1489001.9730690995,1701492.6935768977,2031185.3539286666,0.24021,0.21625,0.20681,0.20573,1.1427,1.0689
T2W,5T_to_0.1T,0.1T,0009,R-best,1081513.512250212,1353553.1492314865,1781409.011151804,0.29575,0.32323,0.22149,0.22018,1.2515,0.9494
T2W,5T_to_1.5T,1.5T,0006,R-best,1291578.0192757766,1137632.6718522205,1053998.0622526873,0.25828,0.39097,0.22204,0.22202,0.8808,1.1715
T2W,5T_to_1.5T,1.5T,0007,R-best,1197932.9926034424,1198788.0410908002,1262138.848272205,0.22252,0.23222,0.22252,0.22232,1.0007,1.0689
T2W,5T_to_1.5T,1.5T,0009,R-best,852331.0797520267,876963.1655525601,941559.8851580386,0.20602,0.21774,0.20418,0.20391,1.0289,0.9494
T2W,5T_to_3T,3T,0006,R-best,1349213.1507165092,1156763.2067578286,1047448.655702306,0.28173,0.4246,0.23057,0.23054,0.8574,1.1715
