modality,pair,target,subject,method,p_sq,pg,g_sq,nrmse_raw,nrmse_subject_rel,nrmse_scale_oracle,nrmse_affine_oracle,scale_a,scale_subject_rel
T2FLAIR,1.5T_to_3T,3T,0009,production,2125725.5180153125,2479268.818406458,2922789.7148233815,0.17546,0.12705,0.10328,0.10328,1.1663,1.0796
T2FLAIR,1.5T_to_5T,5T,0006,production,2489995.0709874094,2375690.715092262,2299005.2186109903,0.12792,0.15639,0.11866,0.11858,0.9541,1.052
T2FLAIR,1.5T_to_5T,5T,0007,production,1546793.4311645285,2292442.4018199923,3437860.7689578496,0.341,0.4666,0.1083,0.10826,1.4821,0.8054
T2FLAIR,1.5T_to_5T,5T,0009,production,2442325.394650439,2607759.300430983,2814392.0717861857,0.12099,0.10382,0.10323,0.10318,1.0677,1.0796
T2FLAIR,1.5T_to_7T,7T,0006,production,1208467.689116848,905657.6386071792,717328.423282181,0.39949,0.4561,0.23199,0.2319,0.7494,1.052
T2FLAIR,1.5T_to_7T,7T,0007,production,736584.8442456151,520070.3515192533,382671.7109971353,0.45469,0.24381,0.20108,0.20107,0.7061,0.8054
T2FLAIR,1.5T_to_7T,7T,0009,production,1174700.3129573155,693601.7204484271,421776.31009726715,0.70439,0.83385,0.17035,0.17027,0.5904,1.0796
T2FLAIR,3T_to_0.1T,0.1T,0006,production,5143091.868879676,3364214.0144020356,2259008.3832891113,0.54609,0.99069,0.16078,0.16069,0.6541,1.302
T2FLAIR,3T_to_0.1T,0.1T,0007,production,5868837.984047206,3845896.811254098,2660831.9270433867,0.56115,1.06434,0.22986,0.22986,0.6553,1.3551
T2FLAIR,3T_to_0.1T,0.1T,0009,production,4572463.856753729,4014291.212520813,3579186.2731723343,0.18543,0.46674,0.12388,0.12386,0.8779,1.2761
T2FLAIR,3T_to_1.5T,1.5T,0006,production,4442838.748119529,4032866.3113170853,3704485.241900683,0.14841,0.44525,0.10869,0.10869,0.9077,1.302
T2FLAIR,3T_to_1.5T,1.5T,0007,production,5088432.9789849315,3477093.921359663,2403060.007326249,0.47286,0.9832,0.10609,0.10609,0.6833,1.3551
T2FLAIR,3T_to_1.5T,1.5T,0009,production,3951116.879977727,3761055.319791925,3614964.803524517,0.11029,0.35282,0.09816,0.09815,0.9519,1.2761
T2FLAIR,3T_to_5T,5T,0006,production,3157539.1207380863,2674252.896910009,2299005.2186109903,0.21678,0.54701,0.12173,0.12171,0.8469,1.302
T2FLAIR,3T_to_5T,5T,0007,production,3620881.609206205,3506194.6274974537,3437860.7689578496,0.11612,0.41224,0.11147,0.11147,0.9683,1.3551
T2FLAIR,3T_to_5T,5T,0009,production,2813272.8023691815,2798807.1101350365,2814392.0717861857,0.10333,0.29949,0.1032,0.1032,0.9949,1.2761
T2FLAIR,3T_to_7T,7T,0006,production,1549215.645448138,1028434.9064102445,717328.423282181,0.54065,0.9632,0.21965,0.21964,0.6638,1.302
T2FLAIR,3T_to_7T,7T,0007,production,1770585.3403651477,803706.4943799631,382671.7109971353,1.19432,1.95035,0.21599,0.21599,0.4539,1.3551
