volume,nrmse_fit,nrmse_loo,nrmse_z0,gate3_pass,ratio_z0_fit
0,0.2585467033472574,0.35328392728630154,0.4870089370569904,True,1.8836400957813895
1,0.23837432491485067,0.3047280124941795,0.47304835034778864,True,1.984476937760665
2,0.2300577247646102,0.28813907137470096,0.4047844863558506,True,1.7594909571935342
3,0.24727201689946043,0.30051457370786266,0.43271333956066693,True,1.7499486799454789
4,0.24402842943528744,0.32147110224464703,0.44729657087630975,True,1.8329691008191564
5,0.23824076764481614,0.3091840071654179,0.4351924486408334,True,1.8266917662456696
6,0.24631123869144744,0.30971763707693234,0.4400593909491352,True,1.7865989115518797
7,0.2415239571121323,0.2932519698478117,0.4341731265376847,True,1.7976400011370766
