method,task,field,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
ceiling_vectorized,ceiling,0.1T,3,0.050704482799832105,0.9665569596126634,0.006109462406029513,0.00736228651664977
ceiling_vectorized,ceiling,1.5T,3,0.061894219138561475,0.9519617890998123,0.0048887173172952655,0.007338411356166101
ceiling_vectorized,ceiling,3T,3,0.14193501944287365,0.9094260678172196,0.013690894626912047,0.013000636230787026
ceiling_vectorized,ceiling,5T,3,0.07897764199707469,0.9397769932089686,0.0016639263235680146,0.0039467039637189425
ceiling_vectorized,ceiling,7T,3,0.08431478142749527,0.9723764421013165,0.006075426389120255,0.0062334040178498
