method,task,field,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
ceiling_lpips,ceiling,0.1T,3,0.04228593117519041,0.9812307018125882,0.005744676160721327,0.002096035286844484
ceiling_lpips,ceiling,1.5T,3,0.09998155428247753,0.9537361339034648,0.019381349013564354,0.005019558341103755
ceiling_lpips,ceiling,3T,3,0.11205765645699577,0.9361352645373029,0.03446081026678674,0.014035756302000777
ceiling_lpips,ceiling,5T,3,0.11344937576745835,0.9635778821988245,0.008188277449381026,0.0032886272809665175
ceiling_lpips,ceiling,7T,3,0.13170786321325603,0.9711858732632671,0.018285615539327813,0.005809615507871313
