resolution,spacing_mm,variant,subject,field,nrmse,ssim,seconds
0.5mm_384x448x384,0.5,inr,0006,0.1T,0.156,0.87216,9.6
0.5mm_384x448x384,0.5,inr,0006,3T,0.19764,0.79585,9.4
0.5mm_384x448x384,0.5,inr,0006,7T,0.29442,0.78675,9.4
0.5mm_384x448x384,0.5,inr,0007,0.1T,0.15084,0.85194,9.4
0.5mm_384x448x384,0.5,inr,0007,3T,0.1799,0.77864,9.4
0.5mm_384x448x384,0.5,inr,0007,7T,0.27955,0.768,9.4
0.5mm_384x448x384,0.5,inr,0009,0.1T,0.16114,0.86751,9.4
0.5mm_384x448x384,0.5,inr,0009,3T,0.18064,0.81015,9.4
0.5mm_384x448x384,0.5,inr,0009,7T,0.31446,0.78163,9.4
