split,field,subject,inr_nrmse,inr_ssim,vae_nrmse,vae_ssim,inr_fit_time_s
prospective,0.1T,0006,0.14551610204587917,0.8823451411339011,0.08380548991550656,0.9502596876027299,6.35
prospective,1.5T,0006,0.18222965416454404,0.8301353153903072,0.1351840416110291,0.9084764509078508,5.84
prospective,3T,0006,0.1869166084421933,0.8317313486556506,0.14334489702975195,0.907223001877322,5.83
prospective,5T,0006,0.22159484651617503,0.8071317553901907,0.17974675373791854,0.8892575530429523,5.84
prospective,7T,0006,0.28293786308462154,0.8030105774187236,0.21969420767333386,0.8997868949113089,5.84
prospective,0.1T,0007,0.14387651108546123,0.8577575901151399,0.08440729811023487,0.9440492401558781,5.83
prospective,1.5T,0007,0.1685062091910678,0.8082867463038745,0.12246085921179424,0.9003997288561904,5.84
prospective,3T,0007,0.17102047731517217,0.8187341996955634,0.12805803724001483,0.9041221168218214,5.84
prospective,5T,0007,0.20859325435752468,0.7853297669468382,0.1678447211496404,0.8785777618810936,5.84
prospective,7T,0007,0.2699054237093141,0.7833909099586317,0.2081735675591506,0.8921920682902302,5.84
prospective,0.1T,0009,0.1532211523103554,0.8840461944372647,0.09063846342180616,0.9452038525578363,5.84
prospective,1.5T,0009,0.1807524826757132,0.8309151014982824,0.1284447991636305,0.9090182330921143,5.84
prospective,3T,0009,0.17105584931916903,0.845553401927714,0.1284044505812533,0.9123347107351824,5.84
prospective,5T,0009,0.20757321604081747,0.8204487699282198,0.16786308321885432,0.8944233280091967,5.84
prospective,7T,0009,0.3034466387515119,0.8076736285252055,0.248506024248072,0.8935285501758172,5.84
retro_train,0.1T,0001.nii,0.2045969380117392,0.833183095426781,0.10176218810283698,0.9456176788362408,5.84
retro_train,0.1T,0002.nii,0.16324199491281652,0.8571327569174201,0.1048029874590815,0.9339301057427053,5.84
retro_train,0.1T,0003.nii,0.17998586284699386,0.8679138943524323,0.11157619066730085,0.9400898071771472,5.84
retro_train,1.5T,0101.nii,0.2015538939732827,0.8048621598314979,0.1292701846051059,0.9238702180287024,5.84
retro_train,1.5T,0107.nii,0.1642456343704958,0.8375078640940529,0.12285023753678168,0.9177135085065552,5.84
retro_train,1.5T,0109.nii,0.16724077295635525,0.8544208032342339,0.12073136253549732,0.924138875944264,5.84
retro_train,3T,0329.nii,0.2647898595802393,0.8228689036740322,0.21956951010746303,0.9054172334895169,5.84
retro_train,3T,0330.nii,0.24550867557737832,0.8481383552593458,0.20444179530543272,0.9169905024664895,5.84
retro_train,3T,0331.nii,0.23583035232687788,0.8453697858295528,0.19607703665453527,0.9108144659908521,5.84
retro_train,5T,0515.nii,0.2455107503265288,0.7756049741002957,0.19389491861668415,0.8803475201609783,5.84
retro_train,5T,0516.nii,0.22121432707207775,0.8013371178731158,0.18819645545184518,0.8819104154002902,5.84
retro_train,5T,0517.nii,0.25008954023117047,0.8091024660363105,0.21002011331648798,0.8870197972445796,5.84
retro_train,7T,0822.nii,0.23139299551262382,0.8364886050821475,0.1889208172689275,0.9044647787710836,5.84
retro_train,7T,0823.nii,0.28369076136728744,0.8136903131340378,0.24097940415461658,0.8968337613137838,5.84
retro_train,7T,0824.nii,0.24518408190015498,0.791958000566202,0.19687136157483315,0.8937642788754857,5.84
