method,task,pair,region,n_subjects,nrmse_mean,ssim_mean,nrmse_std,ssim_std
scaled_identity_srclevel,task3,0.1T_to_1.5T,slab_z150_180,3,0.13684643646905859,0.8858880792026621,0.010459063550347087,0.002608700788897675
scaled_identity_srclevel,task3,0.1T_to_3T,slab_z150_180,3,0.2730856116279823,0.845519691464924,0.13410874874780226,0.01364929596160216
scaled_identity_srclevel,task3,0.1T_to_5T,slab_z150_180,3,0.1810256317434589,0.8879062517251827,0.03060211685800249,0.009513484372583432
scaled_identity_srclevel,task3,0.1T_to_7T,slab_z150_180,3,0.6743317212754536,0.8149841285459916,0.4565655793106296,0.03011817679633193
scaled_identity_srclevel,task3,1.5T_to_0.1T,slab_z150_180,3,0.12303806007003647,0.8925164741779191,0.01251469187360784,0.006899661284931362
scaled_identity_srclevel,task3,1.5T_to_3T,slab_z150_180,3,0.26830260875959044,0.8867250761483975,0.12680574549070947,0.015441538424876711
scaled_identity_srclevel,task3,1.5T_to_5T,slab_z150_180,3,0.16593925505319262,0.919354428862507,0.026795032470440853,0.003005830269233665
scaled_identity_srclevel,task3,1.5T_to_7T,slab_z150_180,3,0.6652768285227956,0.832057944197981,0.44013984806807577,0.02886008905357039
scaled_identity_srclevel,task3,3T_to_0.1T,slab_z150_180,3,0.1135943657834652,0.8635145617443384,0.00939488872333211,0.016545989966105294
scaled_identity_srclevel,task3,3T_to_1.5T,slab_z150_180,3,0.12380541277574564,0.8990280295481728,0.008201348900687421,0.01142355072411069
scaled_identity_srclevel,task3,3T_to_5T,slab_z150_180,3,0.14250029447877735,0.9460407042223017,0.03635808976688422,0.0013021293771595915
scaled_identity_srclevel,task3,3T_to_7T,slab_z150_180,3,0.6509238495197923,0.8596468229847991,0.44620261684716367,0.036277332171139924
scaled_identity_srclevel,task3,5T_to_0.1T,slab_z150_180,3,0.15462159657553645,0.824171892414174,0.007073126883600713,0.014605818451892441
scaled_identity_srclevel,task3,5T_to_1.5T,slab_z150_180,3,0.15160040112080966,0.8645202202552493,0.006787574609313057,0.014574577195063472
scaled_identity_srclevel,task3,5T_to_3T,slab_z150_180,3,0.27034904637976903,0.8897781848565488,0.12762005788965636,0.03376230139094305
scaled_identity_srclevel,task3,5T_to_7T,slab_z150_180,3,0.6433205415511271,0.861342454232982,0.4408830410240608,0.040982002907189646
scaled_identity_srclevel,task3,7T_to_0.1T,slab_z150_180,3,0.24892389284943253,0.7898064182157887,0.02695922857393579,0.011135858007880872
scaled_identity_srclevel,task3,7T_to_1.5T,slab_z150_180,3,0.25758139548157416,0.8131358080576657,0.017117677617980928,0.021793016880216308
scaled_identity_srclevel,task3,7T_to_3T,slab_z150_180,3,0.3333434560070134,0.8541170784751095,0.14740365047333795,0.03904710374017836
scaled_identity_srclevel,task3,7T_to_5T,slab_z150_180,3,0.223486858890527,0.9121361409124145,0.047287763810990494,0.01942486271479682
